trigger_time,trigger_date,symbol_code,symbol_name,quant_score,groups,t3_pct,t5_pct
2026-08-17 18:00:00,20260817,000725,京东方Ａ,69.0,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,002371,北方华创,69.0,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,688012,中微公司,67.0,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,300285,国瓷材料,66.2,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,000938,紫光股份,65.2,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,600183,生益科技,64.8,NONE,,
2026-08-17 18:00:00,20260817,600584,长电科技,63.0,NONE,,
2026-08-17 18:00:00,20260817,603629,利通电子,62.8,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,002407,多氟多,62.8,NONE,,
2026-08-17 18:00:00,20260817,600206,有研新材,62.6,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,600176,中国巨石,62.2,NONE,,
2026-08-17 18:00:00,20260817,603259,药明康德,61.9,NONE,,
2026-08-17 18:00:00,20260817,300759,康龙化成,61.9,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,000636,风华高科,61.9,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,002428,云南锗业,61.7,NONE,,
2026-08-17 18:00:00,20260817,601899,紫金矿业,60.2,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,600988,赤峰黄金,56.0,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,688041,海光信息,53.0,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,300394,天孚通信,50.3,"CONS,RESEARCH",,
2026-08-17 18:00:00,20260817,688313,仕佳光子,47.9,"CONS,RESEARCH",,
