date,equity,pnl,drawdown_pct
20260701,1006197.02,6197.02,0.0
20260702,1003446.61,-2750.41,-0.27334706278498344
20260813,1005807.92,2361.31,-0.0386703590117944
20260813,1005371.01,-436.91,-0.08209227254519291
20260813,1006640.8200000001,1269.81,0.0
20260813,1008223.5900000001,1582.77,0.0
20260814,1019989.2600000001,11765.67,0.0
20260814,1021702.2500000001,1712.99,0.0
20260814,1033498.8700000001,11796.62,0.0
20260814,1045323.9200000002,11825.05,0.0
20260814,1050041.08,4717.16,0.0
20260817,1050517.1500000001,476.07,0.0
20260817,1049408.2300000002,-1108.92,-0.10555943803486932
20260818,1046156.0100000002,-3252.22,-0.41514219924918855
