trigger_date,symbol,name,quant_score,in_buy,in_watch,in_cons,in_research,groups,final_t3_pct,final_t5_pct,t3_pct,t5_pct
20260625,2106,莱宝高科,81.05,False,False,False,False,NONE,,,24.34,15.33
20260625,603976,正川股份,81.03,False,False,False,False,NONE,,,7.75,5.35
20260618,603155,新亚强,81.02,False,False,False,False,NONE,,,-0.39,10.88
20260629,601066,中信建投,81.0,False,False,False,False,NONE,,,-2.44,-1.44
20260625,1223,欧克科技,81.0,False,False,False,False,NONE,,,3.85,-15.83
20260626,1223,欧克科技,81.0,False,False,False,False,NONE,,,-3.39,-13.67
20260626,600078,澄星股份,81.0,False,False,False,False,NONE,,,-5.64,-13.65
20260618,603269,海鸥股份,81.0,False,False,False,False,NONE,,,-11.08,-7.67
20260618,603979,金诚信,80.99,False,False,False,False,NONE,,,-4.05,-17.85
20260626,688227,品高股份,80.98,False,False,False,False,NONE,,,7.31,3.23
20260618,960,锡业股份,80.98,False,False,False,False,NONE,,,6.3,-2.87
20260618,688138,清溢光电,80.98,False,False,False,False,NONE,,,0.88,6.94
20260623,600497,驰宏锌锗,80.97,False,False,False,False,NONE,,,15.15,11.2
20260626,688291,金橙子,80.96,False,False,False,False,NONE,,,-1.25,-2.12
20260624,3013,地铁设计,80.94,False,False,False,False,NONE,,,-10.24,-10.3
20260625,2203,海亮股份,80.94,False,False,False,False,NONE,,,-4.62,-12.63
20260626,603156,养元饮品,80.91,False,False,False,False,NONE,,,0.43,-5.17
20260624,519,中兵红箭,80.9,False,False,False,False,NONE,,,-8.74,-5.3
20260629,2768,国恩股份,80.89,False,False,False,False,NONE,,,2.57,6.18
20260626,2768,国恩股份,80.89,False,False,False,False,NONE,,,1.02,6.89
20260629,300077,国民技术,80.88,False,False,False,False,NONE,,,10.84,3.47
20260629,301629,矽电股份,80.88,False,False,False,False,NONE,,,-0.37,-12.64
20260629,603991,领先股份,80.87,False,False,False,False,NONE,,,17.86,19.8
20260629,3031,中瓷电子,80.87,False,False,False,False,NONE,,,-5.99,-10.77
20260629,2741,光华科技,80.87,False,False,False,False,NONE,,,-0.72,-8.61
20260629,688025,杰普特,80.87,False,False,False,False,NONE,,,-12.86,-11.81
20260618,603488,展鹏科技,80.87,False,False,False,False,NONE,,,-12.2,-15.59
20260629,603386,骏亚科技,80.86,False,False,False,False,NONE,,,-0.99,-10.14
20260623,2171,楚江新材,80.86,False,False,False,False,NONE,,,-3.0,-7.37
20260629,2805,丰元股份,80.85,False,False,False,False,NONE,,,5.32,5.74
20260618,603527,众源新材,80.84,False,False,False,False,NONE,,,-10.68,-10.61
20260624,593,德龙汇能,80.84,False,False,False,False,NONE,,,-17.08,-5.54
20260629,703,恒逸石化,80.84,False,False,False,False,NONE,,,5.53,6.3
20260618,300554,三超新材,80.84,False,False,False,False,NONE,,,-12.61,-15.84
20260629,688372,伟测科技,80.84,False,False,False,False,NONE,,,1.72,6.81
20260625,605198,安德利,80.83,False,False,False,False,NONE,,,-7.16,-2.96
20260629,691,亚太实业,80.82,False,False,False,False,NONE,,,0.6,1.55
20260617,600255,鑫科材料,80.81,False,False,False,False,NONE,,,6.51,-6.05
20260618,300488,恒锋工具,80.81,False,False,False,False,NONE,,,-7.28,-6.34
20260629,2668,TCL智家,80.79,False,False,False,False,NONE,,,4.15,2.64
20260625,600259,中稀有色,80.79,False,False,False,False,NONE,,,-1.75,-5.81
20260626,603995,甬金股份,80.78,False,False,False,False,NONE,,,2.27,3.62
