trigger_time,symbol,signal_group,signal_tier,entry_date,entry_price,shares,buy_cost,position_weight_pct,exit_date,exit_price,days_held,gross_return_pct,pnl,fees,return_after_cost_pct,max_gain_pct,max_loss_pct,trade_plan_pass,trade_plan_reject_reasons
2026-07-15 18:00:00,300017,buy_passed,B,20260716,14.08,3700,52122.05,5.212,20260717,13.376,3,-5.0,-2680.34,75.54,-5.1424,4.6875,-7.4574,True,nan
2026-07-15 18:00:00,000938,buy_passed,B,20260716,34.54,1400,48380.18,4.838,20260717,37.3032,3,8.0,3792.08,76.4,7.8381,13.1442,0.0,True,nan
2026-08-03 18:00:00,000831,buy_passed,B,20260804,48.78,1300,63445.71,6.345,20260806,52.6824,3,8.0,4972.93,100.19,7.8381,9.2046,-0.41,True,nan
2026-08-04 18:00:00,000831,buy_passed,B,20260805,50.18,2300,115471.71,11.547,20260807,54.1944,3,8.0,9050.77,182.35,7.8381,13.9697,-0.1196,True,nan
2026-08-05 18:00:00,300017,buy_passed,B,20260806,14.72,3900,57436.7,5.744,20260807,15.8976,3,8.0,4501.94,90.7,7.8381,13.3152,-1.5625,True,nan
2026-08-07 18:00:00,600487,buy_passed,B,20260810,60.99,800,48816.4,4.882,20260811,57.9405,3,-5.0,-2510.35,70.75,-5.1424,1.2461,-7.5914,True,nan
2026-08-07 18:00:00,600522,buy_passed,B,20260810,34.11,1700,58015.99,5.802,20260811,32.33,3,-5.2184,-3109.95,83.95,-5.3605,0.6743,-6.567,True,nan
2026-08-07 18:00:00,300394,buy_passed,B,20260810,233.21,200,46665.32,4.667,20260811,218.22,3,-6.4277,-3064.96,66.97,-6.568,0.7675,-7.088,True,nan
2026-08-07 18:00:00,002466,buy_passed,B,20260810,48.5,1800,87343.65,8.734,20260812,48.53,3,0.0619,-77.0,131.0,-0.0882,2.6804,-0.9691,True,nan
2026-08-10 18:00:00,601899,buy_passed,B,20260811,35.66,3300,117736.84,11.774,20260812,33.19,3,-6.9265,-8319.37,168.37,-7.0661,0.3085,-7.1509,True,nan
2026-08-10 18:00:00,300394,buy_passed,B,20260811,218.22,200,43665.82,4.367,20260812,235.6776,3,8.0,3422.56,68.96,7.8381,13.8759,-0.6141,True,nan
2026-08-11 18:00:00,300394,buy_passed,B,20260812,224.01,200,44824.4,4.482,20260813,241.9308,3,8.0,3513.37,70.79,7.8381,21.1553,-0.9017,True,nan
2026-08-12 18:00:00,300725,buy_passed,B,20260813,49.08,1100,54014.99,5.401,20260814,53.0064,2,8.0,4233.74,85.3,7.8381,15.546,-1.1817,True,nan
2026-08-12 18:00:00,002384,buy_passed,B,20260813,204.1,200,40840.41,4.084,20260814,205.19,2,0.5341,156.55,61.45,0.3833,4.5566,-2.0088,True,nan
2026-08-12 18:00:00,688202,buy_passed,B,20260813,105.0,400,42021.0,4.202,20260814,108.76,2,3.581,1439.5,64.5,3.4257,5.9333,-2.5714,True,nan
2026-08-12 18:00:00,600183,buy_passed,B,20260813,146.08,300,43845.91,4.385,20260814,143.21,2,-1.9647,-925.88,64.88,-2.1117,3.9841,-4.3675,True,nan
2026-08-13 18:00:00,000831,buy_passed,A,20260814,55.8,2600,145152.54,14.515,20260814,60.95,1,9.2294,13158.99,231.01,9.0656,9.2294,-0.1254,True,nan
2026-08-13 18:00:00,600183,buy_passed,B,20260814,144.0,300,43221.6,4.322,20260814,143.21,1,-0.5486,-301.56,64.56,-0.6977,1.5972,-2.9861,True,nan
