ma_mode,fast_ma,mid_ma,long_ma,use_macd,use_fast_ma_reduce,use_mid_ma_exit,use_atr_trailing,atr_mult,max_holding_days,max_fast_ma_deviation_pct,param_key,engine,trade_count,total_return_pct,avg_trade_return_pct,median_trade_return_pct,win_rate_pct,profit_factor,max_drawdown_pct,sharpe_like
sma,8,20,60,False,True,True,False,1.5,10,12.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_noatr_h10_dev12,pandas_event,48,34.8864,0.9781,0.0,41.67,1.4809,-32.4118,0.53
sma,8,20,60,False,True,True,True,2.0,10,12.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev12,pandas_event,48,34.8864,0.9781,0.0,41.67,1.4809,-32.4118,0.53
sma,8,20,60,True,True,True,False,1.5,10,12.0,sma_f8_m20_l60_macd_fastreduce_midexit_noatr_h10_dev12,pandas_event,46,31.0669,0.9541,-0.6946,41.3,1.4494,-33.7767,0.5079
sma,8,20,60,True,True,True,True,2.0,10,12.0,sma_f8_m20_l60_macd_fastreduce_midexit_atr2_h10_dev12,pandas_event,46,31.0669,0.9541,-0.6946,41.3,1.4494,-33.7767,0.5079
sma,10,20,60,True,True,True,True,2.0,10,12.0,sma_f10_m20_l60_macd_fastreduce_midexit_atr2_h10_dev12,pandas_event,45,29.3463,0.9504,-0.6955,40.0,1.424,-35.2777,0.4986
sma,10,20,60,True,True,True,True,1.5,5,12.0,sma_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,54,21.8878,0.922,-0.7919,35.19,1.3779,-42.4359,0.5483
sma,10,20,60,True,True,True,False,1.5,5,12.0,sma_f10_m20_l60_macd_fastreduce_midexit_noatr_h5_dev12,pandas_event,54,21.3115,0.9138,-0.7919,35.19,1.3733,-42.5975,0.5432
sma,10,20,60,True,True,True,True,2.0,5,12.0,sma_f10_m20_l60_macd_fastreduce_midexit_atr2_h5_dev12,pandas_event,54,21.3115,0.9138,-0.7919,35.19,1.3733,-42.5975,0.5432
sma,8,20,60,True,True,True,True,1.5,10,8.0,sma_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev8,pandas_event,40,13.8109,0.6692,-0.3468,40.0,1.3312,-35.2512,0.3619
sma,8,20,60,False,True,True,True,1.5,10,8.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h10_dev8,pandas_event,42,14.2855,0.6471,0.0,38.1,1.338,-34.9812,0.3589
sma,10,20,60,False,True,True,True,1.5,10,12.0,sma_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,46,12.9746,0.6395,-0.7771,36.96,1.2704,-42.9884,0.337
sma,8,20,60,False,True,True,True,1.5,10,12.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,49,13.8622,0.6103,-0.6937,38.78,1.2808,-42.3234,0.3342
sma,10,20,60,True,True,True,True,1.5,10,12.0,sma_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,46,10.6932,0.5964,-0.7771,36.96,1.2477,-44.1398,0.3138
sma,8,20,60,True,True,True,True,1.5,10,12.0,sma_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,47,11.5628,0.5941,-0.7839,40.43,1.2574,-43.4882,0.318
sma,8,20,60,False,True,True,True,1.5,5,12.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,58,4.7151,0.3894,-0.7919,32.76,1.1814,-44.6501,0.3198
sma,8,20,60,False,True,True,False,1.5,5,12.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev12,pandas_event,58,4.2219,0.3818,-0.7919,32.76,1.1772,-44.8056,0.3133
sma,8,20,60,False,True,True,True,2.0,5,12.0,sma_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev12,pandas_event,58,4.2219,0.3818,-0.7919,32.76,1.1772,-44.8056,0.3133
ema,10,20,60,True,True,True,True,1.5,5,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,66,-0.1353,0.3768,-1.2758,31.82,1.1621,-47.85,0.2762
ema,10,20,60,False,True,True,True,1.5,5,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,68,0.5856,0.367,-1.0967,29.41,1.165,-46.9962,0.2756
ema,10,20,60,True,True,True,False,1.5,5,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_noatr_h5_dev12,pandas_event,66,-2.9706,0.3368,-1.2758,31.82,1.1424,-47.85,0.246
ema,10,20,60,True,True,True,True,2.0,5,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr2_h5_dev12,pandas_event,66,-2.9706,0.3368,-1.2758,31.82,1.1424,-47.85,0.246
ema,10,20,60,False,True,True,False,1.5,5,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev12,pandas_event,68,-2.2702,0.3282,-1.0967,29.41,1.145,-46.9962,0.2455
ema,10,20,60,False,True,True,True,2.0,5,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev12,pandas_event,68,-2.2702,0.3282,-1.0967,29.41,1.145,-46.9962,0.2455
ema,8,20,60,False,True,True,True,1.5,5,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,70,-1.9325,0.3147,-1.3975,28.57,1.1437,-49.368,0.2412
sma,8,20,60,True,True,True,True,1.5,5,12.0,sma_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,56,-1.2519,0.3079,-1.0291,33.93,1.1328,-45.5417,0.2456
ema,8,20,60,True,True,True,True,1.5,5,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev12,pandas_event,68,-3.7084,0.3048,-1.4552,30.88,1.1322,-50.1836,0.2284
sma,8,20,60,True,True,True,False,1.5,5,12.0,sma_f8_m20_l60_macd_fastreduce_midexit_noatr_h5_dev12,pandas_event,56,-1.717,0.3,-1.0291,33.93,1.129,-45.6947,0.2391
sma,8,20,60,True,True,True,True,2.0,5,12.0,sma_f8_m20_l60_macd_fastreduce_midexit_atr2_h5_dev12,pandas_event,56,-1.717,0.3,-1.0291,33.93,1.129,-45.6947,0.2391
ema,8,20,60,False,True,True,False,1.5,5,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev12,pandas_event,70,-4.7168,0.2769,-1.3975,28.57,1.1243,-49.368,0.2115
ema,8,20,60,False,True,True,True,2.0,5,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h5_dev12,pandas_event,70,-4.7168,0.2769,-1.3975,28.57,1.1243,-49.368,0.2115
ema,10,20,60,False,True,True,False,1.5,10,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_noatr_h10_dev12,pandas_event,58,-3.1339,0.2673,-0.9881,32.76,1.109,-43.1164,0.1543
ema,8,20,60,True,True,True,False,1.5,5,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_noatr_h5_dev12,pandas_event,68,-6.4423,0.2659,-1.4552,30.88,1.1135,-50.1836,0.1985
ema,8,20,60,True,True,True,True,2.0,5,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr2_h5_dev12,pandas_event,68,-6.4423,0.2659,-1.4552,30.88,1.1135,-50.1836,0.1985
ema,10,20,60,True,True,True,False,1.5,10,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_noatr_h10_dev12,pandas_event,57,-11.9403,0.1062,-1.6138,31.58,1.0405,-45.0564,0.0606
ema,10,20,60,False,True,True,True,1.5,10,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,58,-16.0955,-0.099,-0.9881,31.03,0.9575,-41.8678,-0.075
ema,8,20,60,False,True,True,False,1.5,10,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_noatr_h10_dev12,pandas_event,60,-19.0573,-0.1032,-1.2072,31.67,0.9577,-48.0601,-0.0695
ema,10,20,60,False,True,True,True,2.0,10,12.0,ema_f10_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev12,pandas_event,58,-19.4681,-0.1575,-0.9881,32.76,0.9357,-46.7764,-0.1161
ema,10,20,60,True,True,True,True,1.5,10,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,57,-19.3316,-0.1685,-1.3874,31.58,0.931,-43.0417,-0.1262
ema,8,20,60,False,True,True,True,1.5,10,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,60,-22.9431,-0.2414,-1.0506,31.67,0.8952,-47.6422,-0.1879
ema,8,20,60,True,True,True,False,1.5,10,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_noatr_h10_dev12,pandas_event,59,-25.3784,-0.2439,-1.6138,32.2,0.9048,-49.109,-0.1632
ema,8,20,60,True,True,True,True,1.5,10,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h10_dev12,pandas_event,59,-24.9807,-0.2897,-1.5176,33.9,0.8794,-48.6995,-0.2229
ema,8,20,60,False,True,True,True,2.0,10,12.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr2_h10_dev12,pandas_event,60,-26.5103,-0.3086,-1.2072,31.67,0.8737,-50.8986,-0.2336
ema,10,20,60,True,True,True,True,2.0,10,12.0,ema_f10_m20_l60_macd_fastreduce_midexit_atr2_h10_dev12,pandas_event,57,-26.7895,-0.3261,-1.6138,31.58,0.8755,-48.5917,-0.2376
ema,8,20,60,True,True,True,True,2.0,10,12.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr2_h10_dev12,pandas_event,59,-32.2494,-0.4527,-1.6138,32.2,0.8232,-53.0313,-0.3412
ema,8,20,60,False,True,True,True,1.5,5,8.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,62,-43.6907,-0.7891,-1.277,27.42,0.6489,-63.1131,-1.0549
ema,8,20,60,True,True,True,True,1.5,5,8.0,ema_f8_m20_l60_macd_fastreduce_midexit_atr1.5_h5_dev8,pandas_event,60,-43.8052,-0.8109,-1.5166,30.0,0.6554,-63.761,-1.0414
ema,8,20,60,False,True,True,False,1.5,5,8.0,ema_f8_m20_l60_nomacd_fastreduce_midexit_noatr_h5_dev8,pandas_event,62,-45.2894,-0.8316,-1.277,27.42,0.6368,-64.1603,-1.0992
