trigger_time,symbol,signal_group,signal_tier,entry_date,entry_price,shares,buy_cost,position_weight_pct,exit_date,exit_price,days_held,gross_return_pct,pnl,fees,return_after_cost_pct,max_gain_pct,max_loss_pct,trade_plan_pass,trade_plan_reject_reasons
2026-08-08 20:20:46,300502,watch,NAN,20260810,420.06,100,42027.0,4.203,20260812,428.2,3,1.9378,750.18,63.82,1.785,5.1755,-7.5656,False,"['low_signal_group', 'rr_below_1.0']"
2026-08-11 22:45:36,300502,consensus,NAN,20260812,410.01,100,41021.5,4.102,20260813,448.62,3,9.4168,3795.64,65.36,9.2528,10.4558,-0.1244,False,['rr_below_1.0']
2026-08-11 22:45:36,600938,watch,NAN,20260812,33.53,2300,77157.56,7.716,20260814,32.67,3,-2.5649,-2091.7,113.7,-2.7109,0.0,-4.8613,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']"
2026-08-11 22:45:36,300274,watch,NAN,20260812,120.9,600,72576.27,7.258,20260814,116.72,3,-3.4574,-2614.3,106.3,-3.6021,0.976,-4.0199,False,"['low_signal_group', 'rr_below_1.0']"
2026-08-11 22:45:36,301308,watch,NAN,20260812,418.05,100,41825.9,4.183,20260814,406.45,3,-2.7748,-1221.55,61.55,-2.9206,1.8251,-5.0377,False,"['low_signal_group', 'rr_below_1.0']"
2026-08-11 22:45:36,002384,watch,NAN,20260812,194.06,400,77662.81,7.766,20260813,202.18,3,4.1843,3128.32,119.68,4.0281,9.966,-0.6493,False,"['low_signal_group', 'rr_below_1.0', 'volume_ratio_below_1.0']"
2026-08-11 22:45:36,601138,watch,NAN,20260812,66.46,1200,79791.88,7.979,20260813,65.52,3,-1.4144,-1246.5,118.5,-1.5622,2.4376,-2.9341,False,['low_signal_group']
2026-08-12 15:54:46,600667,watch,NAN,20260813,22.8,3500,79839.9,7.984,20260814,22.95,2,0.6579,404.77,120.22,0.507,9.1228,-3.9035,False,"['low_signal_group', 'rr_below_1.0', 'rsi_above_70.0']"
2026-08-13 08:50:54,002552,consensus,NAN,20260814,59.59,1300,77505.73,7.751,20260814,60.65,1,1.7788,1260.42,117.58,1.6262,2.0305,-3.8429,False,"['rr_below_1.0', 'rsi_above_70.0']"
2026-08-13 08:50:54,603228,watch,NAN,20260814,98.17,800,78575.27,7.858,20260814,98.01,1,-0.163,-245.68,117.68,-0.3127,1.4567,-3.7384,False,"['low_signal_group', 'rr_below_1.0']"
2026-08-13 08:50:54,002859,watch,NAN,20260814,74.47,1000,74507.24,7.451,20260814,73.06,1,-1.8934,-1520.29,110.3,-2.0405,1.8262,-3.3033,False,['low_signal_group']
2026-08-13 08:50:54,600667,watch,NAN,20260814,23.5,3400,79939.95,7.994,20260814,22.95,1,-2.3404,-1987.98,117.98,-2.4868,2.766,-3.7872,False,"['low_signal_group', 'rr_below_1.0', 'rsi_above_70.0']"
2026-08-13 08:50:54,002428,watch,NAN,20260814,100.83,700,70616.29,7.062,20260814,101.59,1,0.7537,425.6,106.4,0.6027,4.6316,-1.8149,False,"['low_signal_group', 'rr_below_1.0']"
2026-08-13 08:50:54,300285,watch,NAN,20260814,73.04,1000,73076.52,7.308,20260814,70.96,1,-2.8478,-2187.48,107.48,-2.9934,0.2191,-4.6961,False,"['low_signal_group', 'rr_below_1.0']"
2026-08-13 19:36:44,688432,buy_passed,B,20260814,40.5,1900,76988.48,7.699,20260814,41.0,1,1.2346,833.62,116.38,1.0828,3.3827,-2.0247,False,['rr_below_1.0']
2026-08-13 19:36:44,603259,consensus,NAN,20260814,160.5,400,64232.1,6.423,20260814,159.24,1,-0.785,-599.8,95.8,-0.9338,1.5576,-1.8692,False,"['rr_below_1.0', 'rsi_above_70.0']"
2026-08-13 19:36:44,300534,consensus,NAN,20260814,18.92,4200,79503.73,7.95,20260814,18.9,1,-0.1057,-203.11,119.11,-0.2555,2.0085,-5.8668,False,"['rr_below_1.0', 'rsi_above_70.0']"
2026-08-13 19:37:45,600060,consensus,NAN,20260814,25.83,2300,59438.7,5.944,20260814,25.48,1,-1.355,-893.31,88.31,-1.5029,0.0,-1.6647,False,['volume_ratio_below_1.0']
