factor,ic_t1,n,q1_avg_t1,q4_avg_t1,monotonic_q1_q4_up
catalyst_score,0.6401,5,1.0919,5.6343,True
probability_value,0.3371,5,4.061,5.6343,True
tradeability_score,0.3346,5,,,False
risk_reward_score,0.2519,5,6.0139,5.6343,False
ma20_deviation_pct,0.0681,5,2.5292,2.7596,True
relative_strength_score,-0.0273,5,,,False
buy_score,-0.2573,5,6.0139,5.6343,False
prev_day_gain_pct,-0.273,5,2.5292,2.7596,True
weekly_trend_score,-0.4849,5,,,False
capital_flow_score,-0.6053,5,7.3423,-0.5758,False
