trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,strategy,_eval_error
2026-06-22 18:00:00,20260622,20260622_2026-06-22_18-00-00.json,300502,新易盛,watch,watch,,100.0,0.6556,2.246,20260623,575.0,555.3,566.0,607.0,-3.4261,-1.5652,5.5652,6.5843,-8.8313,-8.8313,100.0,100.0,82.0,60.0,46.0,56.72,62.0,65.0,51.02,65.0,9.3,-0.26,True,False,10.0,0.0,,,momentum,
2026-06-22 18:00:00,20260622,20260622_2026-06-22_18-00-00.json,300502,新易盛,research,,,,,,20260623,575.0,555.3,566.0,607.0,-3.4261,-1.5652,5.5652,6.5843,-8.8313,-8.8313,100.0,100.0,82.0,,,,,,,,9.3,-0.26,,,,,,,momentum,
2026-06-22 18:00:00,20260622,20260622_2026-06-22_18-00-00.json,300502,新易盛,consensus,,,,,,20260623,575.0,555.3,566.0,607.0,-3.4261,-1.5652,5.5652,6.5843,-8.8313,-8.8313,100.0,100.0,82.0,,,,,,,,9.3,-0.26,,,,,,,momentum,
2026-06-24 18:00:00,20260624,20260624_2026-06-24_18-00-00.json,000831,中国稀土,watch,watch,,100.0,0.6096,2.071,20260625,57.68,54.85,55.46,53.17,-4.9064,-3.8488,-7.819,0.4334,-10.4022,-10.4022,100.0,90.48,82.0,60.0,46.0,61.16,62.0,68.0,49.18,65.0,5.4,-2.33,True,False,10.0,0.0,,,momentum,
2026-06-24 18:00:00,20260624,20260624_2026-06-24_18-00-00.json,000831,中国稀土,research,,,,,,20260625,57.68,54.85,55.46,53.17,-4.9064,-3.8488,-7.819,0.4334,-10.4022,-10.4022,100.0,90.48,82.0,,,,,,,,5.4,-2.33,,,,,,,momentum,
2026-06-24 18:00:00,20260624,20260624_2026-06-24_18-00-00.json,000831,中国稀土,consensus,,,,,,20260625,57.68,54.85,55.46,53.17,-4.9064,-3.8488,-7.819,0.4334,-10.4022,-10.4022,100.0,90.48,82.0,,,,,,,,5.4,-2.33,,,,,,,momentum,
2026-06-25 18:00:00,20260625,20260625_2026-06-25_18-00-00.json,000831,中国稀土,research,,,,,,20260626,57.47,54.29,53.5,54.45,-5.5333,-6.908,-5.2549,0.0,-10.0748,-10.0748,100.0,91.3,82.0,,,,,,,,3.5,-1.1,,,,,,,momentum,
2026-06-25 18:00:00,20260625,20260625_2026-06-25_18-00-00.json,000831,中国稀土,consensus,,,,,,20260626,57.47,54.29,53.5,54.45,-5.5333,-6.908,-5.2549,0.0,-10.0748,-10.0748,100.0,91.3,82.0,,,,,,,,3.5,-1.1,,,,,,,momentum,
2026-06-26 18:00:00,20260626,20260626_2026-06-26_18-00-00.json,688008,澜起科技,buy_passed,buy,B,100.0,0.628,2.225,20260629,261.61,309.51,268.76,268.29,18.3097,2.7331,2.5534,27.1014,-3.4976,-3.4976,100.0,100.0,82.0,60.0,50.0,55.04,62.0,65.0,54.42,65.0,5.1,-6.22,True,False,10.0,0.0,87.0,8.0,momentum,
2026-06-26 18:00:00,20260626,20260626_2026-06-26_18-00-00.json,688008,澜起科技,research,,,,,,20260629,261.61,309.51,268.76,268.29,18.3097,2.7331,2.5534,27.1014,-3.4976,-3.4976,100.0,100.0,82.0,,,,,,,,5.1,-6.22,,,,,,,momentum,
2026-06-26 18:00:00,20260626,20260626_2026-06-26_18-00-00.json,688008,澜起科技,consensus,,,,,,20260629,261.61,309.51,268.76,268.29,18.3097,2.7331,2.5534,27.1014,-3.4976,-3.4976,100.0,100.0,82.0,,,,,,,,5.1,-6.22,,,,,,,momentum,
2026-06-29 18:00:00,20260629,20260629_2026-06-29_18-00-00.json,688052,纳芯微,buy_passed,buy,B,100.0,0.6556,2.317,20260630,269.78,266.99,257.0,251.55,-1.0342,-4.7372,-6.7574,8.8961,-8.8072,-8.8072,100.0,100.0,82.0,60.0,50.0,54.88,62.0,65.0,55.52,65.0,4.7,-1.84,True,False,10.0,0.0,92.0,8.0,momentum,
2026-06-29 18:00:00,20260629,20260629_2026-06-29_18-00-00.json,002384,东山精密,watch,watch,,100.0,0.628,2.182,20260630,247.54,246.31,232.73,236.87,-0.4969,-5.9829,-4.3104,6.601,-17.5891,-17.5891,100.0,100.0,74.0,60.0,46.0,55.04,62.0,68.0,58.92,65.0,5.1,-4.12,True,False,10.0,0.0,,,momentum,
2026-06-29 18:00:00,20260629,20260629_2026-06-29_18-00-00.json,002384,东山精密,research,,,,,,20260630,247.54,246.31,232.73,236.87,-0.4969,-5.9829,-4.3104,6.601,-17.5891,-17.5891,100.0,100.0,74.0,,,,,,,,5.1,-4.12,,,,,,,momentum,
2026-06-29 18:00:00,20260629,20260629_2026-06-29_18-00-00.json,688052,纳芯微,research,,,,,,20260630,269.78,266.99,257.0,251.55,-1.0342,-4.7372,-6.7574,8.8961,-8.8072,-8.8072,100.0,100.0,82.0,,,,,,,,4.7,-1.84,,,,,,,momentum,
2026-06-29 18:00:00,20260629,20260629_2026-06-29_18-00-00.json,688052,纳芯微,consensus,,,,,,20260630,269.78,266.99,257.0,251.55,-1.0342,-4.7372,-6.7574,8.8961,-8.8072,-8.8072,100.0,100.0,82.0,,,,,,,,4.7,-1.84,,,,,,,momentum,
2026-06-29 18:00:00,20260629,20260629_2026-06-29_18-00-00.json,002384,东山精密,consensus,,,,,,20260630,247.54,246.31,232.73,236.87,-0.4969,-5.9829,-4.3104,6.601,-17.5891,-17.5891,100.0,100.0,74.0,,,,,,,,5.1,-4.12,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,688017,绿的谐波,watch,watch,,100.0,0.6556,2.315,20260706,474.79,464.86,408.07,379.51,-2.0915,-14.0525,-20.0678,2.2031,-21.439,-21.439,100.0,100.0,82.0,60.0,42.0,69.0,62.0,65.0,51.02,60.0,22.9,18.15,True,False,10.0,0.0,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,688525,佰维存储,watch,watch,,100.0,0.582,1.899,20260706,450.0,425.0,418.88,339.49,-5.5556,-6.9156,-24.5578,0.0,-24.8956,-24.8956,100.0,100.0,74.0,60.0,42.0,56.8,62.0,65.0,52.58,60.0,9.5,2.18,True,False,10.0,0.0,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,688008,澜起科技,watch,watch,,100.0,0.5636,1.81,20260706,276.61,252.81,285.41,252.4,-8.6042,3.1814,-8.7524,7.5775,-13.3726,-13.3726,100.0,100.0,82.0,60.0,30.0,59.0,62.0,65.0,54.54,60.0,2.5,-0.87,True,False,10.0,0.0,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,301308,江波龙,watch,watch,,100.0,0.536,1.59,20260706,680.0,627.9,620.0,522.04,-7.6618,-8.8235,-23.2294,0.0,-23.6765,-23.6765,100.0,100.0,82.0,60.0,30.0,54.0,62.0,68.0,44.44,60.0,5.0,3.14,True,False,10.0,0.0,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,688256,寒武纪,watch,watch,,100.0,0.536,1.1,20260706,1383.0,1388.0,1535.01,1390.0,0.3615,10.9913,0.5061,13.5192,-2.671,-2.671,100.0,100.0,26.0,60.0,30.0,47.0,62.0,65.0,51.04,60.0,-1.8,-1.38,True,False,10.0,0.0,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,688017,绿的谐波,research,,,,,,20260706,474.79,464.86,408.07,379.51,-2.0915,-14.0525,-20.0678,2.2031,-21.439,-21.439,100.0,100.0,82.0,,,,,,,,22.9,18.15,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,688525,佰维存储,research,,,,,,20260706,450.0,425.0,418.88,339.49,-5.5556,-6.9156,-24.5578,0.0,-24.8956,-24.8956,100.0,100.0,74.0,,,,,,,,9.5,2.18,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,688008,澜起科技,research,,,,,,20260706,276.61,252.81,285.41,252.4,-8.6042,3.1814,-8.7524,7.5775,-13.3726,-13.3726,100.0,100.0,82.0,,,,,,,,2.5,-0.87,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,301308,江波龙,research,,,,,,20260706,680.0,627.9,620.0,522.04,-7.6618,-8.8235,-23.2294,0.0,-23.6765,-23.6765,100.0,100.0,82.0,,,,,,,,5.0,3.14,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,688361,中科飞测,research,,,,,,20260706,345.83,356.6,446.5,389.99,3.1142,29.1097,12.7693,31.5675,-3.6145,-3.6145,100.0,100.0,82.0,,,,,,,,20.3,-3.93,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,601998,中信银行,research,,,,,,20260706,6.97,7.12,7.13,7.34,2.1521,2.2956,5.3085,5.3085,0.0,0.0,30.0,25.71,22.0,,,,,,,,-4.5,0.43,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,000725,京东方A,research,,,,,,20260706,8.21,7.58,8.15,6.83,-7.6736,-0.7308,-16.8088,1.5834,-16.8088,-16.8088,100.0,100.0,72.0,,,,,,,,19.4,-7.91,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,600176,中国巨石,research,,,,,,20260706,71.88,60.0,58.7,50.13,-16.5275,-18.3361,-30.2588,0.0,-30.2588,-30.2588,100.0,100.0,72.0,,,,,,,,26.9,4.54,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,600030,中信证券,research,,,,,,20260706,29.52,28.45,28.68,28.12,-3.6247,-2.8455,-4.7425,0.0,-5.8266,-5.8266,100.0,96.28,82.0,,,,,,,,5.9,1.15,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,600353,旭光电子,research,,,,,,20260706,45.46,40.68,40.88,38.19,-10.5147,-10.0748,-15.9921,1.1879,-19.4677,-19.4677,100.0,100.0,50.0,,,,,,,,15.3,5.27,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,688256,寒武纪,research,,,,,,20260706,1383.0,1388.0,1535.01,1390.0,0.3615,10.9913,0.5061,13.5192,-2.671,-2.671,100.0,100.0,26.0,,,,,,,,-1.8,-1.38,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,688017,绿的谐波,consensus,,,,,,20260706,474.79,464.86,408.07,379.51,-2.0915,-14.0525,-20.0678,2.2031,-21.439,-21.439,100.0,100.0,82.0,,,,,,,,22.9,18.15,,,,,,,momentum,
2026-07-03 18:00:00,20260703,20260703_2026-07-03_18-00-00.json,601998,中信银行,consensus,,,,,,20260706,6.97,7.12,7.13,7.34,2.1521,2.2956,5.3085,5.3085,0.0,0.0,30.0,25.71,22.0,,,,,,,,-4.5,0.43,,,,,,,momentum,
