trigger_time,symbol,signal_group,signal_tier,entry_date,entry_price,shares,buy_cost,position_weight_pct,exit_date,exit_price,days_held,gross_return_pct,pnl,fees,return_after_cost_pct,max_gain_pct,max_loss_pct
2026-07-24 18:00:00,688825,buy_passed,B,20260727,49.5,2400,118859.4,11.886,20260728,45.22,3,-8.6465,-10439.93,167.93,-8.7834,11.1717,-23.0101
2026-07-29 18:00:00,688825,buy_passed,B,20260730,52.2,2200,114897.42,11.49,20260731,56.376,3,8.0,9005.75,181.45,7.8381,16.092,-5.6513
2026-07-30 18:00:00,688825,buy_passed,B,20260731,58.2,2000,116458.2,11.646,20260803,52.51,3,-9.7766,-11543.22,163.22,-9.9119,4.1237,-12.8351
2026-08-06 18:00:00,300502,buy_passed,B,20260807,430.34,200,86111.03,8.611,20260810,408.823,3,-5.0,-4428.2,124.8,-5.1424,4.2478,-9.7737
2026-08-06 18:00:00,688825,buy_passed,B,20260807,51.01,2300,117381.66,11.738,20260811,50.4,3,-1.1958,-1577.58,174.58,-1.344,4.1953,-2.4309
2026-08-10 18:00:00,601899,buy_passed,B,20260811,35.66,3300,117736.84,11.774,20260812,33.19,3,-6.9265,-8319.37,168.37,-7.0661,0.3085,-7.1509
2026-08-13 18:00:00,000831,buy_passed,A,20260814,55.8,2600,145152.54,14.515,20260814,60.95,1,9.2294,13158.99,231.01,9.0656,9.2294,-0.1254
