trigger_time,symbol,signal_group,signal_tier,entry_date,entry_price,shares,buy_cost,exit_date,exit_price,days_held,gross_return_pct,pnl,return_after_cost_pct,max_gain_pct,max_loss_pct
2026-08-11 22:45:36,300502,consensus,NAN,20260812,410.01,100,41021.5,20260814,442.8108,1,8.0,3237.44,7.8921,9.7461,0.0
2026-08-11 22:45:36,600938,consensus,NAN,20260812,33.53,2300,77157.56,20260814,32.67,1,-2.5649,-2054.13,-2.6623,0.0,-4.7718
2026-08-11 22:45:36,2384,consensus,NAN,20260812,194.06,400,77662.81,20260814,205.19,1,5.7353,4372.15,5.6297,7.1421,0.0
2026-08-11 22:45:36,601138,consensus,NAN,20260812,66.46,1200,79791.88,20260814,66.19,1,-0.4063,-403.59,-0.5058,0.0301,-2.4977
2026-08-11 22:45:36,300274,consensus,NAN,20260812,120.9,600,72576.27,20260814,116.72,1,-3.4574,-2579.29,-3.5539,0.0,-3.78
2026-08-11 22:45:36,301308,consensus,NAN,20260812,418.05,100,41825.9,20260814,406.45,1,-2.7748,-1201.22,-2.872,0.0,-4.3177
2026-08-12 15:54:46,600667,consensus,NAN,20260813,22.8,3500,79839.9,20260813,22.8,0,0.0,-79.8,-0.1,0.0,0.0
