factor,ic_t1,n,q1_avg_t1,q4_avg_t1,monotonic_q1_q4_up
daily_entry_score,0.2485,144,-0.8096,2.4314,True
market_regime_score,0.2327,129,,,False
ma20_deviation_pct,0.1764,133,-0.1989,2.3547,True
buy_score,0.1344,129,0.0788,2.2282,True
data_quality_score,0.1313,129,0.4444,1.7038,True
prev_day_gain_pct,0.1306,141,-0.4955,1.4055,True
relative_strength_score,0.0624,144,-0.4013,1.9047,True
capital_flow_score,-0.019,129,1.1444,0.6936,False
catalyst_score,-0.0559,129,2.1216,1.6131,False
weekly_trend_score,-0.0696,144,1.2843,0.3637,False
tradeability_score,-0.0734,129,0.7239,0.316,False
risk_reward_score,-0.0747,129,1.3434,0.0873,False
probability_value,-0.1386,129,0.9922,0.6575,False
