trigger_time,trigger_date,source_file,symbol_code,symbol_name_raw,signal_group,buy_decision,signal_tier,buy_score,probability_value,expected_return_t1_pct,expected_net_edge_pct,expected_upside_pct,expected_downside_pct,payoff_ratio,entry_date,entry_price,t1_close,t3_close,t5_close,t1_return_pct,t3_return_pct,t5_return_pct,max_gain_pct,max_loss_pct,max_drawdown_pct,weekly_trend_score,relative_strength_score,daily_entry_score,catalyst_score,capital_flow_score,technical_score,market_regime_score,tradeability_score,risk_reward_score,data_quality_score,ma20_deviation_pct,prev_day_gain_pct,flow_data_available,primary_catalyst,consensus_score,future_evidence_count,tier_confidence,recommended_position_size_pct,forward_opportunity_score,fundamental_score,valuation_score,atr_pct,daily_volatility_20d_pct,strategy,_eval_error
2026-07-15 18:00:00,20260715,2026-07-15_18-00-00.json,300502,新易盛,watch,watch,,67.42,0.6372,1.166,1.166,2.833,1.32,2.146,20260716,530.0,542.6,510.0,508.8,2.3774,-3.7736,-4.0,5.283,-14.5358,-14.5358,100.0,100.0,50.0,55.0,46.0,47.0,62.0,65.0,54.79,65.0,1.0,-2.25,True,False,0.0,0.0,,,67.42,86.0,50.0,,,momentum,
2026-07-16 18:00:00,20260716,2026-07-16_18-00-00.json,002384,东山精密,watch,watch,,76.82,0.5636,1.09,1.09,3.239,1.32,2.454,20260717,258.01,241.92,231.0,206.65,-6.2362,-10.4686,-19.9062,0.7713,-24.0495,-24.0495,100.0,100.0,82.0,48.0,46.0,55.72,62.0,68.0,51.84,65.0,6.8,2.4,True,False,0.0,0.0,,,76.82,86.0,50.0,,,momentum,
2026-07-16 18:00:00,20260716,2026-07-16_18-00-00.json,688072,拓荆科技,watch,watch,,69.37,0.6096,0.948,0.948,2.663,1.32,2.018,20260717,718.42,699.08,764.46,743.0,-2.692,6.4085,3.4214,14.1254,-14.5611,-14.5611,100.0,100.0,58.0,48.0,46.0,47.0,62.0,65.0,49.18,65.0,1.2,-6.72,True,False,0.0,0.0,,,69.37,86.0,50.0,,,momentum,
2026-07-20 18:00:00,20260720,2026-07-20_18-00-00.json,000938,紫光股份,watch,watch,,65.83,0.6004,1.293,1.293,3.298,1.32,2.499,20260721,37.7,41.46,42.45,41.47,9.9735,12.5995,10.0,21.4854,-7.2679,-7.2679,100.0,100.0,82.0,48.0,46.0,57.0,62.0,68.0,55.12,65.0,16.4,7.29,True,False,0.0,0.0,,,65.83,86.0,50.0,,,momentum,
2026-07-21 18:00:00,20260721,2026-07-21_18-00-00.json,300502,新易盛,watch,watch,,76.35,0.72,1.898,1.898,3.371,1.32,2.554,20260722,540.0,508.8,476.02,406.9,-5.7778,-11.8481,-24.6481,2.1481,-25.2,-25.2,100.0,82.75,58.0,64.11,46.0,47.0,62.0,65.0,57.2,60.0,1.9,8.19,True,True,0.0,0.0,,,76.35,86.0,50.0,,,momentum,
2026-07-22 18:00:00,20260722,2026-07-22_18-00-00.json,688072,拓荆科技,buy_passed,buy,B,60.15,0.582,0.878,0.878,2.732,1.32,2.07,20260723,791.08,743.0,791.9,700.87,-6.0778,0.1037,-11.4034,3.5142,-17.6341,-17.6341,100.0,100.0,50.0,48.0,58.0,55.76,62.0,65.0,50.78,60.0,6.9,3.48,True,False,0.0,0.0,60.48,12.0,60.15,86.0,50.0,,,momentum,
2026-07-22 18:00:00,20260722,2026-07-22_18-00-00.json,688432,有研硅,watch,watch,,59.83,0.5636,0.588,0.588,2.35,1.32,1.78,20260723,43.33,40.85,39.99,36.07,-5.7235,-7.7083,-16.7551,2.354,-20.8401,-20.8401,100.0,100.0,50.0,48.0,42.0,47.0,62.0,65.0,45.54,60.0,1.4,-6.88,True,False,0.0,0.0,,,59.83,70.0,50.0,,,momentum,
2026-07-27 18:00:00,20260727,2026-07-27_18-00-00.json,688072,拓荆科技,watch,watch,,64.69,0.5452,0.68,0.68,2.642,1.32,2.001,20260728,753.51,710.0,642.0,591.86,-5.7743,-14.7987,-21.4529,4.5772,-23.0548,-23.0548,100.0,100.0,50.0,48.0,58.0,54.68,54.0,65.0,51.11,65.0,4.2,0.11,False,False,0.0,0.0,,,64.69,86.0,50.0,,,momentum,
2026-07-28 18:00:00,20260728,2026-07-28_18-00-00.json,000938,紫光股份,watch,watch,,68.29,0.582,1.181,1.181,3.252,1.32,2.464,20260729,40.86,37.33,34.89,34.32,-8.6393,-14.6109,-16.0059,0.7097,-19.9951,-19.9951,100.0,100.0,82.0,48.0,46.0,57.0,62.0,68.0,52.58,70.0,12.5,0.02,True,False,0.0,0.0,,,68.29,86.0,50.0,,,momentum,
2026-08-03 18:00:00,20260803,2026-08-03_18-00-00.json,000636,风华高科,watch,watch,,79.79,0.6004,1.469,1.469,3.592,1.32,2.721,20260804,50.02,54.33,58.28,61.7,8.6166,16.5134,23.3507,27.8689,-3.8784,-3.8784,84.0,100.0,82.0,55.0,46.0,47.0,62.0,68.0,57.82,65.0,2.9,5.29,True,False,0.0,0.0,,,79.79,70.0,50.0,,,momentum,
