date,equity,pnl,drawdown_pct
START,1000000.0,0.0,0.0
20260625,1017337.64,17337.64,0.0
20260626,1013796.49,-3541.1500000000015,-0.34808011232141406
20260629,986296.3,-27500.190000000002,-3.05123282374571
20260630,967730.65,-18565.65,-4.876157929239696
20260701,965173.25,-2557.4,-5.1275395649373605
20260703,949529.29,-15643.96,-6.665274863908503
20260706,946689.65,-2839.64,-6.94439950142806
20260707,936166.47,-10523.179999999998,-7.978783720220953
20260722,933969.09,-2197.38,-8.194776908087274
20260723,920808.1699999999,-13160.92,-9.488439845792012
20260727,928598.4999999999,7790.33,-8.72268325784153
20260728,915220.8099999999,-13377.69,-10.03765377244865
20260729,892918.25,-22302.559999999998,-12.229901372763521
20260803,876656.39,-16261.86,-13.828373636111605
20260804,864126.36,-12530.03,-15.060022747216944
20260810,881516.2999999999,17389.94,-13.350664976870421
20260814,890247.3699999999,8731.07,-12.492437613927283
