date,equity,pnl,drawdown_pct
START,1000000.0,0.0,0.0
20260622,1011195.38,11195.380000000001,0.0
20260623,1008312.67,-2882.71,-0.28507942747918436
20260624,1006317.2100000001,-1995.4599999999991,-0.4824161676846195
20260625,1030239.04,23921.83,0.0
20260626,1022122.41,-8116.63,-0.7878394901439576
20260629,1008445.31,-13677.099999999999,-2.1154051782001955
20260630,1007370.1100000001,-1075.2,-2.21976930713089
20260701,1008793.3400000001,1423.23,-2.081623697739114
20260717,1007515.04,-1278.3,-2.2057016981224082
20260720,1005460.23,-2054.81,-2.405151526775772
20260721,988851.63,-16608.6,-4.017262828634414
20260722,994145.46,5293.83,-3.503418002874369
20260723,991838.69,-2306.77,-3.727324291651779
20260727,985678.97,-6159.719999999999,-4.325216602158666
20260730,974426.09,-11252.88,-5.417475734563512
20260731,962977.98,-11448.11,-6.528684838035264
20260805,977071.22,14093.24,-5.160726582444407
20260813,979936.4,2865.18,-4.882618309630357
20260814,985068.02,5131.619999999999,-4.384518373522325
