date,code,name,amount,quantitative_score,close,change_pct,ma20_deviation_pct,rsi,macd,atr_pct,daily_volatility_20d_pct,volume_ratio,bollinger,daily_entry_score,ma50_deviation_pct,ma200_deviation_pct,distance_to_52w_high_pct,ma50_slope_pct,weekly_trend_score,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,weinstein_stage_score,weinstein_close_vs_ma30_pct,weinstein_ma30_slope_pct,relative_strength_20d_pct,relative_strength_60d_pct,stock_return_20d_pct,stock_return_60d_pct,long_score,short_score,extension_risk,room_score,forward_opportunity_score,opportunity_rank_score,scr_weinstein,scr_weekly,scr_relative,scr_daily_entry,scr_extension,t3,t5,month
20260617,002119,康强电子,67789.0,79.61,33.17,-0.27,25.3,70.8,1.876,6.951,5.372,1.53,中上,82.0,39.44,63.75,-1.75,5.53,100.0,41.45,7.5,100.0,53.931,7.28,36.143,40.551,37.806,48.146,79.42,77.75,45.0,55.0,71.18,79.61,15.0,20,20,20,7.0,,,202606
20260617,301536,星宸科技,172059.0,79.59,110.06,-0.26,25.0,69.8,6.172,5.285,5.353,1.63,上轨上方,82.0,30.61,58.95,-0.26,3.99,100.0,37.877,6.694,100.0,49.814,8.152,15.998,38.936,17.661,46.532,79.33,77.75,45.0,55.0,71.16,79.59,15.0,20,20,20,7.0,1.91,16.16,202606
20260617,688530,欧莱新材,61264.0,79.57,64.33,1.85,22.2,62.1,2.396,8.977,7.896,1.79,中上,82.0,35.82,132.0,-4.07,7.27,100.0,57.674,21.999,100.0,95.391,22.782,14.603,115.617,16.266,123.213,79.12,77.75,45.0,55.0,71.13,79.57,15.0,20,20,20,7.0,26.8,40.16,202606
20260617,301323,新莱福,13847.0,79.55,102.69,-4.84,18.1,65.2,4.542,7.648,6.431,1.74,中上,82.0,34.84,66.98,-5.28,6.0,100.0,50.022,11.085,100.0,59.917,7.203,21.348,90.609,23.011,98.205,78.94,77.75,45.0,55.0,71.1,79.55,15.0,20,20,20,7.0,-7.58,-15.45,202606
20260617,688167,炬光科技,387708.0,79.54,399.23,-3.33,21.8,62.4,18.291,8.36,8.007,1.59,中上,82.0,32.44,122.78,-3.33,4.62,100.0,47.801,18.05,100.0,82.63,21.949,17.233,83.826,18.896,91.422,78.85,77.75,45.0,55.0,71.09,79.54,15.0,20,20,20,7.0,-9.26,-4.38,202606
20260617,600259,中稀有色,146432.0,79.49,105.71,-0.41,16.8,67.6,4.258,6.485,4.073,1.51,上轨上方,82.0,13.17,44.53,-5.73,2.29,100.0,17.754,6.024,100.0,32.7,8.617,15.662,21.021,17.325,28.617,78.49,77.75,45.0,55.0,71.04,79.49,15.0,20,20,20,7.0,1.02,-0.78,202606
20260617,688010,福光股份,8564.0,79.38,47.88,7.81,18.2,55.4,1.734,8.509,9.064,1.83,中上,82.0,29.51,49.97,0.0,4.5,100.0,37.907,5.825,100.0,43.195,8.75,14.55,56.096,16.214,63.692,79.09,78.25,55.0,45.0,68.4,79.38,15.0,20,20,20,9.0,-6.19,-3.09,202606
20260617,300709,精研科技,59391.0,79.36,60.96,1.52,23.9,66.9,2.191,8.289,5.928,1.64,上轨上方,82.0,34.36,33.48,0.0,3.29,100.0,40.125,1.084,100.0,37.968,1.958,21.364,45.724,23.027,53.32,77.44,77.75,45.0,55.0,70.88,79.36,15.0,20,20,20,7.0,5.58,6.64,202606
20260617,603303,得邦照明,3737.0,79.35,30.97,-6.01,11.8,64.2,0.447,9.175,5.155,1.26,中上,82.0,44.85,99.11,-6.55,9.29,100.0,66.077,21.45,100.0,84.811,17.334,34.23,110.043,35.893,117.639,79.12,76.25,10.0,90.0,80.81,79.35,15.0,20,20,20,3.0,-2.94,-7.13,202606
20260617,000831,中国稀土,541657.0,79.29,59.06,-3.09,11.0,64.2,1.788,6.16,3.618,1.59,中上,82.0,11.41,13.79,-9.07,1.86,100.0,10.489,1.058,75.0,14.013,0.638,11.133,15.857,12.796,23.453,63.97,77.75,10.0,90.0,79.36,79.29,-10.0,20,20,20,3.0,,,202606
20260617,600301,华锡有色,64454.0,79.28,66.41,-1.19,11.5,64.1,1.514,6.694,5.58,1.27,中上,82.0,18.87,49.36,-6.27,3.0,100.0,20.44,5.952,100.0,31.766,10.652,23.167,23.883,24.831,31.479,78.61,76.25,10.0,90.0,80.73,79.28,15.0,20,20,20,3.0,-2.62,-9.53,202606
20260617,600459,贵研铂业,48075.0,79.22,26.27,-4.23,14.1,65.1,0.759,7.102,5.089,1.33,中上,82.0,22.34,35.34,-4.23,3.15,100.0,21.809,3.073,100.0,26.957,5.482,33.055,26.503,34.718,34.099,78.07,76.25,10.0,90.0,80.65,79.22,15.0,20,20,20,3.0,-0.58,2.23,202606
20260617,301418,协昌科技,4807.0,79.2,50.55,1.12,13.6,64.1,1.151,8.723,6.05,1.31,中上,82.0,19.62,29.4,0.0,2.71,100.0,23.525,3.662,100.0,27.275,3.439,13.223,24.32,14.886,31.915,77.92,76.25,10.0,90.0,80.63,79.2,15.0,20,20,20,3.0,-1.74,9.15,202606
20260617,603139,康惠股份,7515.0,79.14,44.13,10.0,15.3,67.5,0.589,6.118,4.193,1.59,上轨上方,82.0,23.93,67.17,0.0,3.91,100.0,40.204,12.525,100.0,56.949,10.753,11.927,53.052,13.591,60.648,79.33,77.75,55.0,45.0,68.16,79.14,15.0,20,20,20,9.0,-9.74,-13.59,202606
20260617,688233,神工股份,126389.0,79.12,121.71,9.71,29.6,70.4,6.103,8.081,6.478,1.54,上轨上方,82.0,41.0,75.28,0.0,4.95,100.0,42.496,4.931,100.0,51.292,10.168,11.872,53.78,13.535,61.376,79.09,77.75,55.0,45.0,68.13,79.12,15.0,20,20,20,9.0,3.22,26.96,202606
20260617,603155,新亚强,10258.0,79.05,16.9,7.17,21.0,69.4,0.55,6.496,5.104,2.11,中上,82.0,33.9,42.1,-1.05,4.56,100.0,36.439,3.97,100.0,37.877,4.463,20.889,48.452,22.553,56.048,78.55,77.75,55.0,45.0,68.05,79.05,15.0,20,20,20,9.0,-12.45,-4.05,202606
20260617,603261,立航科技,28268.0,79.01,40.7,10.0,15.3,63.6,0.974,4.265,3.321,1.77,上轨上方,82.0,14.57,45.23,0.0,0.52,100.0,21.393,5.059,100.0,31.619,7.307,11.0,22.53,12.618,28.391,78.19,77.75,55.0,45.0,67.99,79.01,15.0,20,20,20,9.0,17.48,21.98,202606
20260617,002263,大东南,13149.0,78.94,4.37,2.34,12.4,62.6,0.146,5.476,4.604,1.44,上轨上方,82.0,3.25,15.71,-15.47,-0.62,100.0,9.937,2.488,100.0,15.293,1.174,11.257,17.979,12.92,25.575,75.85,76.25,10.0,90.0,80.31,78.94,15.0,20,20,20,3.0,,,202606
20260617,603271,永杰新材,4556.0,78.93,54.4,9.43,17.8,70.1,1.733,4.324,3.808,1.87,上轨上方,82.0,13.6,25.71,0.0,0.41,100.0,15.364,2.551,100.0,21.528,2.525,13.056,23.394,14.72,30.99,77.56,77.75,55.0,45.0,67.9,78.93,15.0,20,20,20,9.0,-13.11,-15.59,202606
20260617,603733,仙鹤股份,20111.0,78.87,28.42,-0.04,16.3,74.3,0.798,6.175,3.652,1.68,中上,82.0,26.41,24.57,-0.04,2.65,76.0,23.616,2.424,100.0,24.078,2.131,38.406,22.711,40.069,30.307,73.42,77.75,45.0,55.0,70.28,78.87,15.0,18,20,20,7.0,-14.39,-6.75,202606
20260617,600392,盛和资源,225949.0,78.64,28.48,-0.87,20.1,73.2,1.473,5.345,3.862,2.06,上轨上方,82.0,16.02,20.49,-14.4,1.89,76.0,12.309,1.27,100.0,18.06,1.559,19.683,18.87,21.346,26.465,71.5,77.75,45.0,55.0,69.99,78.64,15.0,18,20,20,7.0,7.07,11.15,202606
20260617,603993,洛阳钼业,292499.0,78.59,20.17,0.7,7.7,56.6,0.502,5.599,4.803,1.51,中上,82.0,6.59,12.44,-24.57,1.17,46.0,2.686,-3.12,100.0,3.39,2.359,12.485,7.268,14.148,14.863,53.89,78.75,10.0,90.0,78.4,78.59,15.0,-5,20,20,3.0,-1.42,-8.6,202606
20260617,000630,铜陵有色,133794.0,78.55,7.56,-0.13,12.6,62.6,0.234,5.48,4.896,1.34,中上,82.0,17.11,28.76,-17.29,2.28,76.0,13.081,2.491,100.0,18.943,4.408,27.127,17.777,28.79,25.373,72.61,76.25,10.0,90.0,79.83,78.55,15.0,18,20,20,3.0,,,202606
20260617,688401,路维光电,47672.0,78.48,83.05,4.89,8.8,46.9,0.433,8.316,5.9,1.11,中上,82.0,22.98,54.13,-3.59,4.76,100.0,36.248,7.467,100.0,42.974,9.453,10.673,67.8,12.336,75.396,78.85,77.5,10.0,90.0,81.45,78.48,15.0,20,20,20,3.0,-8.02,8.82,202606
20260617,000668,荣丰控股,28678.0,78.48,21.08,-2.0,8.7,59.5,0.086,7.119,4.765,1.15,中上,82.0,21.97,65.44,-3.83,3.84,100.0,31.75,11.576,100.0,46.752,12.541,13.826,41.345,15.444,47.207,78.85,77.5,10.0,90.0,81.45,78.48,15.0,20,20,20,3.0,,,202606
20260617,688138,清溢光电,28138.0,78.34,40.84,10.32,21.1,65.6,1.419,7.122,5.122,1.63,上轨上方,82.0,29.11,36.34,0.0,3.67,100.0,33.305,2.652,100.0,35.804,3.537,14.69,37.381,16.353,44.977,78.28,77.75,70.0,30.0,63.5,78.34,15.0,20,20,20,13.0,-5.49,0.52,202606
20260617,300790,宇瞳光学,73579.0,78.34,29.08,11.2,21.3,65.8,0.761,6.757,5.015,1.52,上轨上方,82.0,27.74,36.79,0.0,3.79,100.0,37.157,2.44,100.0,36.643,2.812,12.421,56.328,14.084,63.923,78.28,77.75,70.0,30.0,63.5,78.34,15.0,20,20,20,13.0,-3.5,-5.39,202606
20260617,300700,岱勒新材,22558.0,78.3,22.68,1.48,9.7,65.5,0.253,5.823,3.608,1.15,中上,82.0,23.29,59.07,-0.74,5.23,100.0,36.668,10.365,100.0,48.992,11.163,17.267,55.218,18.93,62.814,79.6,77.0,10.0,90.0,81.29,78.3,15.0,20,20,20,3.0,2.67,1.65,202606
20260617,000960,锡业股份,147387.0,78.29,41.43,-0.5,6.3,55.1,0.417,6.674,5.436,1.16,中上,82.0,10.79,35.2,-14.67,2.09,100.0,12.488,2.025,100.0,20.501,8.248,11.968,19.764,13.631,27.359,77.29,77.5,10.0,90.0,81.22,78.29,15.0,20,20,20,3.0,,,202606
20260617,300497,富祥股份,60899.0,78.28,18.22,4.17,14.0,71.8,0.69,4.497,3.236,1.35,上轨上方,82.0,4.8,22.97,-13.85,-1.16,70.0,7.932,-0.056,100.0,10.724,3.968,10.184,13.387,11.848,20.983,70.39,76.25,10.0,90.0,79.5,78.28,15.0,18,20,20,3.0,22.72,23.49,202606
20260617,000969,安泰科技,32035.0,78.2,24.45,-2.78,7.2,46.2,0.549,6.407,4.516,1.2,中上,82.0,11.8,20.78,-15.89,1.64,46.0,9.769,-1.022,100.0,11.5,2.767,14.268,11.906,15.932,19.501,54.52,79.75,10.0,90.0,79.04,78.2,15.0,-5,20,20,3.0,,,202606
20260617,603488,展鹏科技,10116.0,78.15,13.18,10.02,11.5,62.0,0.176,6.433,4.088,1.24,上轨上方,82.0,14.22,37.73,0.0,1.97,100.0,19.487,4.858,100.0,29.005,6.568,15.596,26.076,17.26,33.671,78.55,76.25,35.0,65.0,73.22,78.15,15.0,20,20,20,9.0,-11.07,-18.32,202606
20260617,002747,埃斯顿,178467.0,78.12,33.18,-2.12,7.5,62.1,0.034,8.196,5.12,1.02,中上,82.0,29.32,38.61,-11.59,5.39,100.0,36.338,5.408,100.0,38.633,5.186,25.463,50.404,27.126,58.0,78.1,77.0,10.0,90.0,81.06,78.12,15.0,20,20,20,3.0,,,202606
20260617,301107,瑜欣电子,5347.0,78.08,24.91,-5.29,8.7,65.9,0.453,8.829,5.777,1.18,中上,82.0,18.75,19.93,-5.29,3.05,100.0,17.867,2.802,100.0,19.938,2.185,22.514,13.151,24.177,20.746,77.8,77.0,10.0,90.0,81.02,78.08,15.0,20,20,20,3.0,-3.72,-11.19,202606
20260617,603225,新凤鸣,19051.0,78.0,20.4,-5.34,9.8,64.2,0.518,8.032,4.36,1.49,中上,82.0,14.52,16.8,-8.11,1.89,46.0,11.494,-1.055,100.0,11.437,2.495,18.055,23.341,19.718,30.937,55.12,79.25,10.0,90.0,78.86,78.0,15.0,-5,20,20,3.0,3.32,9.55,202606
20260617,300706,阿石创,38474.0,77.99,76.87,-4.75,35.0,72.7,5.424,8.81,7.019,1.72,中上,82.0,59.37,86.47,-4.75,9.67,100.0,70.689,12.324,100.0,82.796,9.625,40.609,112.978,42.273,120.574,79.12,77.75,80.0,20.0,60.63,77.99,15.0,20,20,20,13.0,-3.39,5.54,202606
20260617,002167,东方锆业,111672.0,77.96,14.66,-4.12,7.5,55.8,0.294,6.081,4.375,1.33,中上,82.0,11.4,10.01,-8.77,1.78,100.0,9.858,0.77,75.0,11.712,0.673,19.795,7.385,21.458,14.98,63.49,77.25,10.0,90.0,79.01,77.96,-10.0,20,20,20,3.0,,,202606
20260617,301313,凡拓数创,20913.0,77.96,62.11,2.34,16.6,57.7,0.945,10.886,8.607,1.31,中上,82.0,45.35,93.28,-10.65,7.65,100.0,64.262,15.527,100.0,79.857,13.71,23.913,89.641,25.576,97.237,78.52,76.75,45.0,55.0,70.49,77.96,15.0,20,20,20,7.0,-9.9,-12.76,202606
20260617,000921,海信家电,23311.0,77.92,26.62,-1.59,6.4,76.5,0.29,5.474,3.006,1.81,中上,72.0,15.07,13.36,-5.06,2.97,100.0,17.129,2.116,75.0,14.636,0.541,12.635,17.675,14.298,25.271,64.45,75.5,15.0,85.0,76.69,77.92,-10.0,20,20,15,4.5,,,202606
20260617,300870,欧陆通,144043.0,77.83,374.01,0.27,28.8,64.0,18.232,7.601,7.481,1.27,上轨上方,82.0,37.07,97.38,0.0,5.39,100.0,59.117,12.786,100.0,80.106,14.674,24.296,98.641,25.959,106.237,79.6,76.25,45.0,55.0,70.38,77.83,15.0,20,20,20,7.0,-4.68,-6.34,202606
20260617,300843,胜蓝股份,96932.0,77.83,120.6,2.53,28.7,69.5,4.844,6.336,6.402,1.34,上轨上方,82.0,43.75,100.99,0.0,6.35,100.0,65.602,14.988,100.0,86.322,14.875,11.142,117.867,12.805,125.463,79.6,76.25,45.0,55.0,70.38,77.83,15.0,20,20,20,7.0,8.36,15.92,202606
20260617,300936,中英科技,32772.0,77.83,124.1,-1.9,17.7,62.4,2.658,9.314,5.746,1.23,中上,82.0,41.5,131.61,-1.9,7.28,100.0,70.075,24.636,100.0,102.099,23.853,41.095,99.479,42.759,107.075,79.6,76.25,45.0,55.0,70.38,77.83,15.0,20,20,20,7.0,-0.54,-1.72,202606
20260617,688090,瑞松科技,48976.0,77.83,94.11,-1.22,21.6,73.5,2.791,7.877,6.22,1.28,中上,82.0,43.18,129.19,-1.22,7.81,100.0,69.34,19.238,100.0,97.914,21.586,31.902,128.802,33.565,136.398,79.6,76.25,45.0,55.0,70.38,77.83,15.0,20,20,20,7.0,2.8,13.59,202606
20260617,688625,呈和科技,30610.0,77.83,93.65,2.04,19.3,63.2,1.711,7.782,6.489,1.4,上轨上方,82.0,47.18,129.73,0.0,8.08,100.0,66.716,17.404,100.0,94.26,21.853,29.279,115.327,30.942,122.923,79.6,76.25,45.0,55.0,70.38,77.83,15.0,20,20,20,7.0,-1.56,2.81,202606
20260617,688379,华光新材,28060.0,77.83,89.04,0.98,17.6,64.6,2.665,8.329,6.319,1.37,中上,82.0,31.64,61.44,-2.91,6.43,100.0,46.793,8.167,100.0,54.439,9.143,14.759,84.012,16.423,91.607,79.6,76.25,45.0,55.0,70.38,77.83,15.0,20,20,20,7.0,0.05,-3.12,202606
20260617,300331,苏大维格,63127.0,77.83,71.13,-0.85,21.6,72.4,2.989,8.051,5.492,1.26,中上,82.0,32.46,73.53,-0.85,5.01,100.0,40.721,7.854,100.0,55.727,11.201,17.642,64.715,19.306,72.311,79.6,76.25,45.0,55.0,70.38,77.83,15.0,20,20,20,7.0,-9.19,2.06,202606
20260617,300806,斯迪克,107891.0,77.83,70.37,1.44,18.5,62.9,1.791,8.264,6.342,1.27,上轨上方,82.0,31.58,120.96,0.0,6.53,100.0,50.022,18.126,100.0,83.069,21.911,12.89,89.519,14.553,97.115,79.6,76.25,45.0,55.0,70.38,77.83,15.0,20,20,20,7.0,-6.46,17.88,202606
20260617,300398,飞凯材料,113565.0,77.83,46.86,3.93,15.9,62.3,0.722,8.117,5.827,1.22,中上,82.0,32.03,71.59,0.0,5.32,100.0,46.399,11.433,100.0,61.43,11.432,18.122,69.904,19.785,77.5,79.6,76.25,45.0,55.0,70.38,77.83,15.0,20,20,20,7.0,1.5,21.62,202606
20260617,300826,测绘股份,7016.0,77.81,14.71,0.0,6.7,68.7,0.169,6.599,3.521,1.27,中上,82.0,11.03,10.36,-1.74,1.59,100.0,11.621,1.338,75.0,11.891,0.183,13.89,6.435,15.554,14.031,64.45,76.75,10.0,90.0,78.88,77.81,-10.0,20,20,20,3.0,6.53,2.75,202606
20260617,688786,悦安新材,21425.0,77.81,47.09,-2.91,28.6,65.8,2.134,10.13,7.538,1.43,中上,82.0,52.84,80.05,-2.91,6.5,100.0,60.978,9.642,100.0,71.732,7.715,63.913,63.268,65.577,70.864,79.42,76.25,45.0,55.0,70.35,77.81,15.0,20,20,20,7.0,4.81,1.5,202606
20260617,300656,民德电子,10092.0,77.81,39.12,-2.3,15.9,61.6,1.096,8.2,6.287,1.23,中上,82.0,34.72,54.56,-2.3,6.28,100.0,42.495,8.486,100.0,52.062,7.523,16.882,66.969,18.545,74.565,79.42,76.25,45.0,55.0,70.35,77.81,15.0,20,20,20,7.0,3.26,-2.41,202606
20260617,688419,耐科装备,23818.0,77.8,67.6,2.72,24.7,61.2,3.591,7.207,7.315,1.4,中上,82.0,36.16,78.69,0.0,4.22,100.0,39.239,8.976,100.0,59.099,12.59,16.663,39.777,18.327,47.373,79.33,76.25,45.0,55.0,70.34,77.8,15.0,20,20,20,7.0,6.45,6.39,202606
20260617,605020,永和股份,42323.0,77.77,37.1,5.04,9.4,61.6,0.052,6.059,2.912,1.1,上轨上方,82.0,25.41,33.91,0.0,3.67,100.0,29.064,5.597,100.0,33.397,4.639,11.137,37.78,12.8,45.376,78.91,77.0,20.0,80.0,78.19,77.77,15.0,20,20,20,5.0,-4.32,4.43,202606
20260617,603124,江南新材,62909.0,77.77,192.1,-5.11,23.9,73.0,9.244,7.603,5.48,1.36,中上,82.0,40.89,92.55,-5.11,6.71,100.0,55.517,15.216,100.0,76.427,13.43,54.49,80.24,56.153,87.836,79.12,76.25,45.0,55.0,70.31,77.77,15.0,20,20,20,7.0,-4.58,-1.82,202606
20260617,000657,中钨高新,536864.0,77.77,89.3,-3.22,24.8,70.2,4.091,7.29,5.001,1.2,中上,82.0,45.09,126.1,-3.22,6.42,100.0,51.154,16.066,100.0,82.19,21.786,60.848,66.955,62.511,74.55,79.12,76.25,45.0,55.0,70.31,77.77,15.0,20,20,20,7.0,,,202606
20260617,301389,隆扬电子,40038.0,77.77,103.0,-5.69,19.8,60.0,3.583,8.173,6.579,1.37,中上,82.0,42.19,72.78,-5.69,7.21,100.0,60.796,13.629,100.0,71.331,9.826,38.759,78.931,40.423,86.527,79.12,76.25,45.0,55.0,70.31,77.77,15.0,20,20,20,7.0,-5.86,-1.12,202606
20260617,600641,先导基电,268062.0,77.77,33.0,0.18,18.4,66.1,1.186,5.665,4.874,1.47,上轨上方,82.0,23.87,63.82,0.0,4.88,100.0,41.155,8.811,100.0,53.763,7.858,11.35,71.266,13.014,78.862,79.15,76.25,45.0,55.0,70.31,77.77,15.0,20,20,20,7.0,9.67,13.07,202606
20260617,301070,开勒股份,18883.0,77.74,82.45,-3.77,16.8,63.2,2.791,6.912,5.256,1.42,上轨上方,82.0,17.99,68.0,-3.77,4.34,100.0,39.914,10.359,100.0,54.141,10.044,16.714,64.318,18.378,71.914,78.85,76.25,45.0,55.0,70.27,77.74,15.0,20,20,20,7.0,5.92,5.27,202606
20260617,002768,国恩股份,51053.0,77.74,53.01,0.89,18.3,67.4,1.646,5.331,3.666,1.43,上轨上方,82.0,32.94,46.58,0.0,4.64,100.0,38.577,4.737,100.0,41.224,4.82,18.568,46.727,20.231,54.323,78.91,76.25,45.0,55.0,70.27,77.74,15.0,20,20,20,7.0,,,202606
20260617,301528,多浦乐,6945.0,77.74,63.98,0.79,17.2,74.2,2.003,7.535,5.001,1.26,中上,82.0,26.68,40.45,-0.48,4.32,100.0,31.052,4.31,100.0,34.242,4.547,28.722,46.018,30.385,53.613,78.91,76.25,45.0,55.0,70.27,77.74,15.0,20,20,20,7.0,1.02,-1.36,202606
20260617,600596,新安股份,21934.0,77.7,15.99,0.5,16.0,73.0,0.429,6.727,5.018,1.3,中上,82.0,25.37,36.77,0.0,3.54,100.0,27.132,3.027,100.0,30.548,4.923,29.51,36.718,31.173,44.314,78.55,76.25,45.0,55.0,70.22,77.7,15.0,20,20,20,7.0,-1.63,7.32,202606
20260617,300586,美联新材,15414.0,77.67,14.72,2.36,19.5,68.8,0.543,7.157,4.766,1.23,上轨上方,82.0,28.06,35.22,0.0,4.02,100.0,34.984,2.95,100.0,35.777,3.359,20.393,44.943,22.056,52.539,78.28,76.25,45.0,55.0,70.18,77.67,15.0,20,20,20,7.0,6.8,10.07,202606
