date,code,name,ret_3d_pct,ret_5d_pct,ma20_deviation_pct,rsi,volume_ratio,opportunity_rank_score,short_score,sector_1d_return,sector_3d_return,sector_5d_return,sector_10d_return,sector_rank,t3,t5
20260617,603225,新凤鸣,2.204,5.974,9.8,64.2,1.49,78.0,79.25,-0.771,-0.771,-0.771,-0.771,44.0,3.32,9.55
20260617,300706,阿石创,6.987,35.885,35.0,72.7,1.72,77.99,77.75,3.974,3.974,3.974,3.974,3.0,-3.39,5.54
20260617,002167,东方锆业,3.239,6.155,7.5,55.8,1.33,77.96,77.25,,,,,,20.95,41.17
20260617,301313,凡拓数创,4.739,-10.646,16.6,57.7,1.31,77.96,76.75,,,,,,-9.9,-12.76
20260617,000921,海信家电,-2.988,4.886,6.4,76.5,1.81,77.92,75.5,-0.655,-0.655,-0.655,-0.655,38.0,-2.25,-0.34
20260617,300870,欧陆通,36.565,41.104,28.8,64.0,1.27,77.83,76.25,,,,,,-4.68,-6.34
20260617,300843,胜蓝股份,29.524,42.536,28.7,69.5,1.34,77.83,76.25,0.858,0.858,0.858,0.858,10.0,8.36,15.92
20260617,300936,中英科技,13.427,13.541,17.7,62.4,1.23,77.83,76.25,4.32,4.32,4.32,4.32,2.0,-0.54,-1.72
20260617,688090,瑞松科技,19.278,18.826,21.6,73.5,1.28,77.83,76.25,,,,,,2.8,13.59
20260617,688625,呈和科技,18.544,13.036,19.3,63.2,1.4,77.83,76.25,-0.324,-0.324,-0.324,-0.324,28.0,-1.56,2.81
20260617,688379,华光新材,14.639,15.576,17.6,64.6,1.37,77.83,76.25,,,,,,0.05,-3.12
20260617,300331,苏大维格,7.92,12.387,21.6,72.4,1.26,77.83,76.25,,,,,,-9.19,2.06
20260617,300806,斯迪克,22.128,20.911,18.5,62.9,1.27,77.83,76.25,,,,,,-6.46,17.88
20260617,300398,飞凯材料,16.829,4.762,15.9,62.3,1.22,77.83,76.25,,,,,,1.5,21.62
20260617,300826,测绘股份,-0.809,0.616,6.7,68.7,1.27,77.81,76.75,-0.203,-0.203,-0.203,-0.203,23.0,6.53,2.75
20260617,688786,悦安新材,22.343,0.405,28.6,65.8,1.43,77.81,76.25,,,,,,4.81,1.5
20260617,300656,民德电子,9.0,3.219,15.9,61.6,1.23,77.81,76.25,,,,,,3.26,-2.41
20260617,688419,耐科装备,16.955,47.277,24.7,61.2,1.4,77.8,76.25,3.974,3.974,3.974,3.974,3.0,6.45,6.39
20260617,605020,永和股份,10.122,12.766,9.4,61.6,1.1,77.77,77.0,,,,,,-4.32,4.43
20260617,603124,江南新材,7.499,14.427,23.9,73.0,1.36,77.77,76.25,,,,,,-4.58,-1.82
20260617,000657,中钨高新,13.368,22.884,24.8,70.2,1.2,77.77,76.25,-2.309,-2.309,-2.309,-2.309,85.0,15.53,19.13
20260617,301389,隆扬电子,10.765,28.333,19.8,60.0,1.37,77.77,76.25,0.858,0.858,0.858,0.858,10.0,-5.86,-1.12
20260617,600641,先导基电,15.871,19.869,18.4,66.1,1.47,77.77,76.25,3.974,3.974,3.974,3.974,3.0,9.67,13.07
20260617,301070,开勒股份,18.056,19.823,16.8,63.2,1.42,77.74,76.25,,,,,,5.92,5.27
20260617,002768,国恩股份,12.119,19.905,18.3,67.4,1.43,77.74,76.25,,,,,,5.24,0.47
20260617,301528,多浦乐,4.508,7.133,17.2,74.2,1.26,77.74,76.25,,,,,,1.02,-1.36
20260617,600596,新安股份,11.351,7.822,16.0,73.0,1.3,77.7,76.25,,,,,,-1.63,7.32
20260617,300586,美联新材,11.6,18.138,19.5,68.8,1.23,77.67,76.25,,,,,,6.8,10.07
20260617,603203,快克智能,15.342,12.839,16.1,57.1,1.34,77.65,76.75,,,,,,4.52,20.0
20260618,300093,金刚光伏,-0.216,0.652,3.4,54.8,2.32,78.85,81.0,,,,,,3.36,9.12
20260618,002203,海亮股份,2.959,19.868,21.6,66.6,1.83,78.5,77.75,,,,,,-7.15,-15.09
20260618,603681,永冠新材,-9.344,6.18,2.2,48.0,1.34,81.97,80.5,,,,,,-1.63,-9.35
20260618,603527,众源新材,1.248,9.774,6.7,60.0,1.3,80.84,79.25,,,,,,-10.68,-10.61
20260618,603335,迪生力,-7.223,12.295,9.4,60.4,1.83,82.66,80.75,,,,,,0.36,9.71
20260618,300554,三超新材,5.305,8.842,8.5,68.7,1.2,80.84,79.25,,,,,,-12.61,-15.84
20260618,601958,金钼股份,-1.337,19.737,15.1,62.3,1.71,79.54,77.75,2.279,-0.083,-0.083,-0.083,4.0,-2.74,-3.64
20260618,603979,金诚信,-5.688,7.917,2.0,49.2,1.33,80.99,80.5,,,,,,-4.05,-17.85
20260618,688432,有研硅,1.276,9.771,19.5,67.9,1.52,79.57,77.75,2.291,6.356,6.356,6.356,3.0,-6.68,20.0
20260618,688530,欧莱新材,12.283,-1.715,23.3,66.2,1.63,79.63,77.75,2.291,6.356,6.356,6.356,3.0,14.07,23.93
20260618,301323,新莱福,-5.627,18.841,16.2,70.1,1.68,79.55,77.75,,,,,,-12.49,-14.06
20260618,688167,炬光科技,-1.321,15.977,18.6,63.7,1.65,79.54,77.75,,,,,,-2.93,-9.06
20260618,688010,福光股份,16.023,26.586,22.9,70.6,1.79,79.14,77.75,,,,,,-5.93,-8.67
20260618,600301,华锡有色,-3.373,12.077,8.9,64.2,1.18,78.18,77.0,,,,,,-6.45,-11.79
20260618,600459,贵研铂业,0.389,3.942,10.6,68.1,1.38,79.22,76.25,,,,,,-0.39,9.59
20260618,301418,协昌科技,0.125,4.967,7.5,64.4,1.22,80.74,79.25,,,,,,-2.07,13.4
20260618,603139,康惠股份,14.688,13.822,17.0,70.9,1.61,79.59,77.75,,,,,,-9.87,-8.47
20260618,603155,新亚强,3.298,-8.314,11.2,67.6,1.82,81.02,77.75,,,,,,-0.39,10.88
20260618,603261,立航科技,26.184,34.931,25.3,73.3,2.1,79.01,77.75,,,,,,1.34,18.3
20260618,603733,仙鹤股份,-2.144,-1.552,5.2,64.9,1.66,83.5,83.0,,,,,,-8.03,-0.31
20260618,603993,洛阳钼业,-4.207,15.371,6.2,57.4,1.57,78.59,78.75,,,,,,-6.13,-14.74
20260618,000630,铜陵有色,-0.131,18.605,12.4,61.9,1.43,78.55,76.25,,,,,,-10.45,-19.74
20260618,688401,路维光电,1.362,2.983,5.4,52.7,1.08,80.13,79.75,2.291,6.356,6.356,6.356,3.0,2.89,9.25
20260618,000668,荣丰控股,10.5,8.706,12.7,64.2,1.2,79.37,76.25,,,,,,-3.93,0.76
20260618,688138,清溢光电,4.761,6.847,15.0,71.5,1.54,80.98,77.75,2.291,6.356,6.356,6.356,3.0,0.88,6.94
20260618,000960,锡业股份,0.773,19.736,6.3,58.5,1.22,80.98,79.75,,,,,,6.3,-2.87
20260618,000969,安泰科技,3.722,13.793,9.2,62.3,1.21,77.93,79.25,,,,,,0.98,-0.86
20260618,603488,展鹏科技,1.906,6.033,7.6,66.3,1.44,80.87,79.25,0.148,-0.535,-0.535,-0.535,23.0,-12.2,-15.59
20260618,301107,瑜欣电子,-5.733,2.898,5.8,68.4,1.07,79.73,79.25,,,,,,0.98,-18.02
20260618,603225,新凤鸣,-6.336,9.266,5.7,63.3,1.47,79.54,81.5,-2.398,-3.151,-3.151,-3.151,84.0,10.6,8.1
20260618,301313,凡拓数创,1.508,6.528,10.0,60.9,1.24,79.27,76.25,,,,,,2.1,-8.03
20260618,300870,欧陆通,18.318,46.968,28.6,70.7,1.31,77.83,76.25,,,,,,-8.13,-16.31
20260618,688625,呈和科技,8.459,17.537,18.2,68.9,1.39,77.83,76.25,-0.711,-1.033,-1.033,-1.033,43.0,-1.49,-1.06
20260618,300806,斯迪克,14.894,18.167,20.8,68.8,1.29,77.83,76.25,,,,,,-1.39,13.87
20260618,688419,耐科装备,11.694,25.726,25.9,72.9,1.44,77.8,76.25,2.291,6.356,6.356,6.356,3.0,9.95,4.96
20260618,600641,先导基电,7.729,15.704,18.6,72.1,1.38,77.81,76.25,2.291,6.356,6.356,6.356,3.0,8.19,9.63
20260618,301070,开勒股份,16.899,22.726,21.6,72.7,1.5,79.14,77.75,,,,,,-2.04,-3.92
20260618,600596,新安股份,1.585,7.552,10.2,71.7,1.23,79.22,76.25,,,,,,13.75,17.11
20260618,603203,快克智能,7.948,3.181,11.8,65.0,1.25,79.4,76.25,,,,,,14.98,24.59
20260618,300998,宁波方正,1.709,15.087,6.9,58.1,1.71,82.8,81.25,,,,,,-2.86,-1.48
20260618,688719,爱科赛博,10.196,2.886,8.2,58.1,1.24,81.21,79.75,,,,,,-5.79,-11.46
20260618,002051,中工国际,5.474,4.745,6.7,57.9,1.42,81.08,79.75,,,,,,9.03,3.31
20260618,603269,海鸥股份,-0.92,14.561,8.7,62.6,1.39,81.0,79.25,,,,,,-11.08,-7.67
20260618,300488,恒锋工具,6.359,8.246,13.9,66.7,1.53,80.81,77.75,,,,,,-7.28,-6.34
20260618,603976,正川股份,1.509,2.24,8.6,64.2,1.43,80.78,79.25,0.406,-0.077,-0.077,-0.077,19.0,11.93,-2.19
20260618,002137,实益达,4.249,6.458,9.4,64.2,1.24,80.69,79.25,,,,,,-3.59,4.06
20260618,000060,中金岭南,1.144,11.798,4.8,54.5,1.05,79.99,79.75,,,,,,-0.25,-6.27
