date,code,name,quantitative_score,rsi,ma20_deviation_pct,volume_ratio,stock_return_20d_pct,stock_return_60d_pct,relative_strength_20d_pct,relative_strength_60d_pct,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,short_score,long_score,extension_risk,forward_opportunity_score,opportunity_rank_score,room_score,lt_ma50_deviation_pct,lt_ma200_deviation_pct,lt_distance_to_52w_high_pct,t3,t5,turnover_pct,turnover_5d_avg_pct,turnover_20d_avg_pct,turnover_ratio_5_20,mom_3d_pct,mom_5d_pct,dist_20d_high_pct,dist_60d_high_pct,boll_pct_b,boll_above_pct
20260810,300093,金刚光伏,66.2,67.5,11.2,0.91,12.608,5.834,12.467,10.16,7.02,4.067,66.5,77.11,10.0,,,,4.02,26.71,-14.16,9.91,7.57,0.0279,0.0416,0.04582000000000001,0.908,0.602,4.418,-3.664,-15.217,0.829,False
20260617,962,东方钽业,82.82,45.6,5.2,1.25,13.326,37.084,11.663,29.489,24.532,9.816,82.0,78.85,0.0,86.93,82.82,100.0,19.38,63.49,-6.18,16.93,34.95,0.063,0.07522000000000001,0.06041500000000001,1.245,8.924,17.675,-9.507,-9.507,0.675,False
20260617,2674,兴业科技,82.55,59.5,5.7,1.26,12.13,23.915,10.466,16.319,15.986,1.103,82.0,76.6,0.0,86.59,82.55,100.0,14.07,15.49,-8.34,35.21,63.61,0.06570000000000001,0.04828,0.038384999999999996,1.258,1.687,6.063,-6.387,-6.387,0.841,False
20260807,2674,兴业科技,67.2,71.9,14.7,1.18,-8.019,104.993,-6.213,109.472,53.251,12.675,65.25,78.25,10.0,,,,24.55,76.18,-14.05,0.24,2.81,0.13019999999999998,0.1206,0.10221,1.18,15.727,24.473,-16.381,-16.381,0.748,False
20260617,2203,海亮股份,81.38,58.5,12.0,1.7,12.202,75.647,10.539,68.051,34.011,9.252,78.25,78.85,10.0,81.86,81.38,90.0,20.24,60.6,-6.45,6.35,4.82,0.0455,0.04688,0.027525,1.703,-1.029,19.896,-9.062,-9.062,0.832,False
20260618,2203,海亮股份,78.5,66.6,21.6,1.83,27.767,90.977,24.453,82.776,46.495,9.988,77.75,79.6,70.0,63.7,78.5,30.0,30.9,75.99,0.0,-7.15,-15.09,0.0355,0.051559999999999995,0.02817,1.83,2.959,19.868,0.0,0.0,1.032,True
20260622,2203,海亮股份,79.63,70.3,23.9,1.82,22.911,109.608,18.482,95.084,46.069,10.934,77.75,79.6,45.0,71.2,79.63,55.0,33.35,80.57,0.0,-8.59,-17.46,0.061799999999999994,0.05466,0.030109999999999998,1.815,7.383,12.264,-2.568,-2.568,1.023,True
20260623,2203,海亮股份,81.14,64.3,14.0,1.51,16.395,95.02,16.44,85.083,36.19,10.346,77.75,79.12,10.0,81.63,81.14,90.0,22.51,66.81,-7.26,-7.0,-5.88,0.0434,0.04706,0.031144999999999996,1.511,5.199,-1.581,-9.639,-9.639,0.797,False
20260624,2203,海亮股份,79.35,63.1,14.0,1.38,25.115,89.214,25.212,80.276,37.653,10.432,76.25,79.12,10.0,80.81,79.35,90.0,22.74,68.03,-6.19,-10.74,-9.42,0.030899999999999997,0.04341999999999999,0.031529999999999996,1.377,-3.307,0.738,-8.597,-8.597,0.793,False
20260625,2203,海亮股份,80.94,64.3,9.8,1.25,26.346,73.532,24.066,61.414,34.359,10.237,79.25,79.12,10.0,82.46,80.94,90.0,18.5,63.07,-8.59,-4.62,-12.63,0.0275,0.039819999999999994,0.03192,1.247,-8.594,3.683,-10.942,-10.942,0.709,False
