date,code,name,group,weekly_close_vs_ma20_pct,weekly_ma20_slope_pct,short_score,volume_ratio,opportunity_rank_score,rsi,ma20_deviation_pct,t3,t5
20260803,000636,风华高科,watchlist,21.803,12.637,73.62,1.6,,41.5,2.9,16.533386645341853,31.64734106357454
20260803,000636,风华高科,consensus_signals,21.803,12.637,73.62,1.6,,41.5,2.9,16.533386645341853,31.64734106357454
20260803,000636,风华高科,research_signals,21.803,12.637,73.62,1.6,,41.5,2.9,16.533386645341853,31.64734106357454
20260810,600183,生益科技,buy_signals,18.342,12.689,69.5,1.05,,51.5,10.7,5.4565537555228305,
20260810,600183,生益科技,consensus_signals,18.342,12.689,69.5,1.05,,51.5,10.7,5.4565537555228305,
20260810,600183,生益科技,research_signals,18.342,12.689,69.5,1.05,,51.5,10.7,5.4565537555228305,
20260810,600183,生益科技,research_signals,18.342,12.689,69.5,1.05,,51.5,10.7,5.4565537555228305,
20260812,002821,凯莱英,consensus_signals,28.133,10.96,71.0,1.28,,56.9,7.3,,
20260812,002821,凯莱英,research_signals,28.133,10.96,71.0,1.28,,56.9,7.3,,
20260813,600183,生益科技,watchlist,20.886,12.841,67.12,1.05,,62.2,14.4,,
20260813,000831,中国稀土,watchlist,5.457,0.267,80.75,1.61,,70.5,9.5,,
20260813,600183,生益科技,consensus_signals,20.886,12.841,67.12,1.05,,62.2,14.4,,
20260813,000831,中国稀土,consensus_signals,5.457,0.267,80.75,1.61,,70.5,9.5,,
20260813,600183,生益科技,research_signals,20.886,12.841,67.12,1.05,,62.2,14.4,,
20260813,000831,中国稀土,research_signals,5.457,0.267,80.75,1.61,,70.5,9.5,,
20260813,600183,生益科技,research_signals,20.886,12.841,67.12,1.05,,62.2,14.4,,
20260813,000831,中国稀土,research_signals,5.457,0.267,80.75,1.61,,70.5,9.5,,
