code,date,entry_delta,entry_quality,crowding,crowding_mean,t3,t5,ret_5d_pct,sector_5d_return
601958,20260618,-8.0,40.0,10.0,-0.083,-2.74,-3.64,19.737,-0.083
603979,20260618,1.0,62.5,10.0,,-4.05,-17.85,7.917,
688432,20260618,-1.0,57.5,30.0,6.356,-6.68,20.0,9.771,6.356
688530,20260618,0.0,60.0,30.0,6.356,14.07,23.93,-1.715,6.356
301323,20260618,-8.0,40.0,10.0,,-12.49,-14.06,18.841,
688167,20260618,-5.0,47.5,10.0,,-2.93,-9.06,15.977,
688010,20260618,-7.0,42.5,10.0,,-5.93,-8.67,26.586,
600301,20260618,-2.0,55.0,10.0,,-6.45,-11.79,12.077,
600459,20260618,1.0,62.5,10.0,,-0.39,9.59,3.942,
301418,20260618,1.0,62.5,10.0,,-2.07,13.4,4.967,
603139,20260618,-2.0,55.0,10.0,,-9.87,-8.47,13.822,
603155,20260618,1.0,62.5,10.0,,-0.39,10.88,-8.314,
603261,20260618,-8.0,40.0,10.0,,1.34,18.3,34.931,
603733,20260618,1.0,62.5,10.0,,-8.03,-0.31,-1.552,
603993,20260618,-4.0,50.0,10.0,,-6.13,-14.74,15.371,
630,20260618,-8.0,40.0,10.0,,-10.45,-19.74,18.605,
688401,20260618,1.0,62.5,30.0,6.356,2.89,9.25,2.983,6.356
668,20260618,-2.0,55.0,10.0,,-3.93,0.76,8.706,
688138,20260618,1.0,62.5,30.0,6.356,0.88,6.94,6.847,6.356
960,20260618,-8.0,40.0,10.0,,6.3,-2.87,19.736,
969,20260618,-2.0,55.0,10.0,,0.98,-0.86,13.793,
603488,20260618,1.0,62.5,10.0,-0.535,-12.2,-15.59,6.033,-0.535
301107,20260618,1.0,62.5,10.0,,0.98,-18.02,2.898,
603225,20260618,-2.0,55.0,10.0,-3.151,10.6,8.1,9.266,-3.151
301313,20260618,1.0,62.5,10.0,,2.1,-8.03,6.528,
300870,20260618,-8.0,40.0,10.0,,-8.13,-16.31,46.968,
688625,20260618,-5.0,47.5,10.0,-1.033,-1.49,-1.06,17.537,-1.033
300806,20260618,-9.0,37.5,10.0,,-1.39,13.87,18.167,
688419,20260618,-8.0,40.0,30.0,6.356,9.95,4.96,25.726,6.356
600641,20260618,-3.0,52.5,30.0,6.356,8.19,9.63,15.704,6.356
301070,20260618,-9.0,37.5,10.0,,-2.04,-3.92,22.726,
600596,20260618,1.0,62.5,10.0,,13.75,17.11,7.552,
603203,20260618,1.0,62.5,10.0,,14.98,24.59,3.181,
300998,20260618,-4.0,50.0,10.0,,-2.86,-1.48,15.087,
688719,20260618,1.0,62.5,10.0,,-5.79,-11.46,2.886,
2051,20260618,1.0,62.5,10.0,,9.03,3.31,4.745,
603269,20260618,-2.0,55.0,10.0,,-11.08,-7.67,14.561,
300488,20260618,-2.0,55.0,10.0,,-7.28,-6.34,8.246,
603976,20260618,1.0,62.5,10.0,-0.077,11.93,-2.19,2.24,-0.077
2137,20260618,1.0,62.5,10.0,,-3.59,4.06,6.458,
60,20260618,-2.0,55.0,10.0,,-0.25,-6.27,11.798,
3026,20260618,1.0,62.5,30.0,6.356,0.13,4.84,6.798,6.356
