replay,trigger_date,symbol_code,symbol_name,signal_group,buy_score,entry_delta,new_buy_score,entry_quality,crowding,t1,t3,t5,holding_rule,recommended_holding_days
agents_workspace_replays/current_no_future_june17_30,20260629,688721,龙图光罩,buy_passed,87.0,-4.0,83.0,50.0,55.0,4.25,8.9643,-1.7857,T+3_ok,3
agents_workspace_replays/current_no_future_june17_30,20260629,688584,上海合晶,buy_passed,87.0,-11.0,76.0,32.5,55.0,1.4144,0.0849,-12.6733,T+1_2_fast_exit,2
agents_workspace_replays/current_no_future_june17_30,20260629,790,华神科技,consensus,,0.0,,60.0,0.0,-2.7855,3.6212,4.7354,T+3_ok,3
agents_workspace_replays/current_no_future_june17_30,20260629,2895,川恒股份,consensus,,0.0,,60.0,0.0,-1.6835,3.6364,6.2626,T+3_ok,3
agents_workspace_replays/current_no_future_june17_30,20260630,688216,气派科技,buy_passed,95.0,-10.0,85.0,35.0,80.0,1.6889,-2.3787,-10.49,T+1_2_fast_exit,2
agents_workspace_replays/current_no_future_june17_30,20260630,688135,利扬芯片,buy_passed,87.0,-10.0,77.0,35.0,80.0,-3.2624,-9.7872,-6.6903,T+1_2_fast_exit,2
agents_workspace_replays/current_no_future_june17_30,20260630,688721,龙图光罩,buy_passed,87.0,-13.0,74.0,27.5,80.0,17.3559,-4.8983,-5.4407,T+1_2_fast_exit,2
agents_workspace_replays/current_no_future_june17_30,20260630,688372,伟测科技,buy_passed,87.0,-13.0,74.0,27.5,80.0,-6.5263,-14.5789,-4.1368,T+1_2_fast_exit,2
agents_workspace_replays/current_system_0810_0813,20260810,603663,三祥新材,buy_passed,95.84,-6.0,89.84,45.0,0.0,0.9988,-0.4744,11.5106,T+1_2_fast_exit,2
agents_workspace_replays/current_system_0810_0813,20260810,601869,长飞光纤,buy_passed,99.5,-6.0,93.5,45.0,0.0,0.5749,1.0509,12.7365,T+1_2_fast_exit,2
agents_workspace_replays/current_system_0810_0813,20260810,2902,铭普光磁,buy_passed,92.36,0.0,92.36,60.0,0.0,0.7475,3.0731,8.9286,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260810,603259,药明康德,buy_passed,87.0,-11.0,76.0,32.5,55.0,-0.1247,1.1969,4.0396,T+1_2_fast_exit,2
agents_workspace_replays/current_system_0810_0813,20260810,2156,通富微电,watch,77.17,0.0,77.17,60.0,0.0,-0.6881,-0.4321,10.8337,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260810,2602,世纪华通,consensus,,0.0,,60.0,0.0,-1.3194,-4.6528,-2.2917,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260810,603296,华勤技术,consensus,,-2.0,,55.0,10.0,-0.3114,7.0877,8.2461,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260810,688525,佰维存储,consensus,,-4.0,,50.0,0.0,1.3227,-1.6283,7.4843,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260810,688320,禾川科技,consensus,,1.0,,62.5,0.0,4.2199,10.3261,15.8568,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260811,300149,睿智医药,buy_passed,99.0,-4.0,95.0,50.0,55.0,0.7463,4.4776,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260811,300683,海特生物,buy_passed,99.0,-4.0,95.0,50.0,55.0,-1.1251,1.2574,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260811,603456,九洲药业,buy_passed,99.5,1.0,99.5,62.5,55.0,1.3855,5.5422,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260811,300404,博济医药,buy_passed,95.0,-9.0,86.0,37.5,55.0,2.906,48.2051,,T+1_2_fast_exit,2
agents_workspace_replays/current_system_0810_0813,20260811,300759,康龙化成,buy_passed,95.0,-9.0,86.0,37.5,55.0,0.7361,3.3018,,T+1_2_fast_exit,2
agents_workspace_replays/current_system_0810_0813,20260811,603535,XD嘉诚国,consensus,,1.0,,62.5,10.0,1.0786,-0.4622,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260811,601607,上海医药,consensus,,1.0,,62.5,0.0,-0.5405,-0.3604,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260811,2432,九安医疗,consensus,,0.0,,60.0,0.0,1.1138,3.2144,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260811,422,湖北宜化,consensus,,0.0,,60.0,0.0,0.3861,-1.8533,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260811,603296,华勤技术,consensus,,0.0,,60.0,10.0,-1.0518,7.6384,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260812,603087,甘李药业,buy_passed,87.0,-2.0,85.0,55.0,0.0,3.7216,,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260812,600572,康恩贝,buy_passed,96.0,-2.0,94.0,55.0,0.0,-2.0921,0.4184,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260812,603198,迎驾贡酒,watch,95.0,-2.0,93.0,55.0,0.0,-0.1907,-6.0563,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260812,600216,浙江医药,consensus,,-2.0,,55.0,0.0,-2.4727,-4.0,,T+3_ok,3
agents_workspace_replays/current_system_0810_0813,20260813,300347,泰格医药,buy_passed,99.5,-2.0,97.5,55.0,55.0,1.6697,,,T+3_ok,3
