date,equity,pnl,drawdown_pct
START,1000000.0,0.0,0.0
20260622,1011195.38,11195.380000000001,0.0
20260624,1017816.28,6620.9,0.0
20260625,1034799.42,16983.14,0.0
20260626,1024590.5700000001,-10208.85,-0.9865535100512499
20260629,1001928.3,-22662.27,-3.176569233098333
20260630,983297.01,-18631.29,-4.977042797337481
20260701,968050.65,-15246.360000000002,-6.4504065918397995
20260717,966772.35,-1278.3,-6.573937778202471
20260720,964717.5399999999,-2054.81,-6.772508627807321
20260721,948108.94,-16608.6,-8.377515325627076
20260722,953402.7699999999,5293.83,-7.865935023427065
20260723,951095.9999999999,-2306.77,-8.088854553088186
20260729,928793.44,-22302.559999999998,-10.244108950119058
20260803,914417.69,-14375.75,-11.633339531636004
20260804,901887.6599999999,-12530.03,-12.844205111750073
20260805,915980.8999999999,14093.24,-11.482275473250663
20260814,924711.9699999999,8731.07,-10.638530315372634
