date,equity,pnl,drawdown_pct
20260701,1006197.02,6197.02,0.0
20260702,1003446.61,-2750.41,-0.27334706278498344
20260814,1013986.51,10539.9,0.0
20260814,1025752.18,11765.67,0.0
20260814,1037548.8,11796.62,0.0
20260814,1049373.85,11825.05,0.0
20260817,1055648.33,6274.48,0.0
20260817,1061656.79,6008.46,0.0
20260817,1067341.5,5684.71,0.0
20260818,1068270.88,929.38,0.0
20260818,1079909.98,11639.1,0.0
20260819,1072283.41,-7626.57,-0.7062227538632494
20260819,1064699.8599999999,-7583.55,-1.408461842347277
20260819,1057084.19,-7615.67,-2.1136752528206135
